Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28 (https://www.baseball-reference.com/boxes/?date=2019-03-28)",boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201903280.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2019.shtml),L,5,12,,0-1,4,1,Ryu (https://www.baseball-reference.com/players/r/ryuhy01.shtml),Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),,2:49,D,"53,086",1.08,-,
2,"Friday, Mar 29 (https://www.baseball-reference.com/boxes/?date=2019-03-29)",boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201903290.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2019.shtml),W,5,4,13,1-1,3,1,Andriese (https://www.baseball-reference.com/players/a/andrima01.shtml),García (https://www.baseball-reference.com/players/g/garciyi01.shtml),Holland (https://www.baseball-reference.com/players/h/hollagr01.shtml),6:05,N,"42,266",0.99,+,
3,"Saturday, Mar 30 (https://www.baseball-reference.com/boxes/?date=2019-03-30)",boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201903300.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2019.shtml),L,5,18,,1-2,4,1,Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),,3:14,N,"50,626",1.06,-,
4,"Sunday, Mar 31 (https://www.baseball-reference.com/boxes/?date=2019-03-31)",boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201903310.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2019.shtml),L,7,8,,1-3,4,2,Floro (https://www.baseball-reference.com/players/f/florody01.shtml),Hirano (https://www.baseball-reference.com/players/h/hiranyo01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:29,D,"43,815",1.04,--,
Gm#,April,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
5,"Monday, Apr 1 (https://www.baseball-reference.com/boxes/?date=2019-04-01)",boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201904010.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2019.shtml),W,10,3,,2-3,3,1,Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Strahm (https://www.baseball-reference.com/players/s/strahma01.shtml),Duplantier (https://www.baseball-reference.com/players/d/duplajo01.shtml),3:04,N,"18,683",0.98,+,
6,"Tuesday, Apr 2 (https://www.baseball-reference.com/boxes/?date=2019-04-02)",boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201904020.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2019.shtml),W,8,5,,3-3,2,1,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Lauer (https://www.baseball-reference.com/players/l/lauerer01.shtml),Holland (https://www.baseball-reference.com/players/h/hollagr01.shtml),3:21,N,"22,504",1.05,++,
7,"Wednesday, Apr 3 (https://www.baseball-reference.com/boxes/?date=2019-04-03)",boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201904030.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2019.shtml),L,1,4,,3-4,3,2,Lucchesi (https://www.baseball-reference.com/players/l/lucchjo01.shtml),Ray (https://www.baseball-reference.com/players/r/rayro02.shtml),,2:59,D,"19,376",1.14,-,
8,"Friday, Apr 5 (https://www.baseball-reference.com/boxes/?date=2019-04-05)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201904050.shtml),ARI,,BOS (https://www.baseball-reference.com/teams/BOS/2019.shtml),W,15,8,,4-4,3,2,Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Porcello (https://www.baseball-reference.com/players/p/porceri01.shtml),,3:23,D,"48,338",0.91,+,
9,"Saturday, Apr 6 (https://www.baseball-reference.com/boxes/?date=2019-04-06)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201904060.shtml),ARI,,BOS (https://www.baseball-reference.com/teams/BOS/2019.shtml),W-wo,5,4,,5-4,3,2,Holland (https://www.baseball-reference.com/players/h/hollagr01.shtml),Brewer (https://www.baseball-reference.com/players/b/breweco01.shtml),,3:19,N,"35,969",0.94,++,
