Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 30 (https://www.baseball-reference.com/boxes/?date=2023-03-30)",boxscore (https://www.baseball-reference.com/boxes/LAN/LAN202303300.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2023.shtml),L,2,8,,0-1,3,1,Urías (https://www.baseball-reference.com/players/u/uriasju01.shtml),Gallen (https://www.baseball-reference.com/players/g/galleza01.shtml),,2:35,N,"52,075",1.01,-,
2,"Friday, Mar 31 (https://www.baseball-reference.com/boxes/?date=2023-03-31)",boxscore (https://www.baseball-reference.com/boxes/LAN/LAN202303310.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2023.shtml),W,2,1,,1-1,2,1,Jameson (https://www.baseball-reference.com/players/j/jamesdr01.shtml),Vesia (https://www.baseball-reference.com/players/v/vesiaal01.shtml),Chafin (https://www.baseball-reference.com/players/c/chafian01.shtml),2:41,N,"45,389",0.97,+,
Gm#,April,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
3,"Saturday, Apr 1 (https://www.baseball-reference.com/boxes/?date=2023-04-01)",boxscore (https://www.baseball-reference.com/boxes/LAN/LAN202304010.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2023.shtml),L,1,10,,1-2,4,1,Kershaw (https://www.baseball-reference.com/players/k/kershcl01.shtml),Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Jackson (https://www.baseball-reference.com/players/j/jacksan01.shtml),2:14,N,"48,886",1.03,-,
4,"Sunday, Apr 2 (https://www.baseball-reference.com/boxes/?date=2023-04-02)",boxscore (https://www.baseball-reference.com/boxes/LAN/LAN202304020.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2023.shtml),W,2,1,,2-2,1,Tied,Chafin (https://www.baseball-reference.com/players/c/chafian01.shtml),Graterol (https://www.baseball-reference.com/players/g/gratebr01.shtml),McGough (https://www.baseball-reference.com/players/m/mcgousc01.shtml),2:32,D,"46,549",0.96,+,
5,"Monday, Apr 3 (https://www.baseball-reference.com/boxes/?date=2023-04-03)",boxscore (https://www.baseball-reference.com/boxes/SDN/SDN202304030.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2023.shtml),L-wo,4,5,,2-3,4,1,Hill (https://www.baseball-reference.com/players/h/hillti01.shtml),McGough (https://www.baseball-reference.com/players/m/mcgousc01.shtml),,2:29,N,"37,602",1.01,-,
6,"Tuesday, Apr 4 (https://www.baseball-reference.com/boxes/?date=2023-04-04)",boxscore (https://www.baseball-reference.com/boxes/SDN/SDN202304040.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2023.shtml),W,8,6,,3-3,2,1,Ginkel (https://www.baseball-reference.com/players/g/ginkeke01.shtml),García (https://www.baseball-reference.com/players/g/garcilu03.shtml),Jameson (https://www.baseball-reference.com/players/j/jamesdr01.shtml),2:55,D,"34,542",1.01,+,
7,"Thursday, Apr 6 (https://www.baseball-reference.com/boxes/?date=2023-04-06)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202304060.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2023.shtml),L,2,5,,3-4,3,2,May (https://www.baseball-reference.com/players/m/maydu01.shtml),Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Phillips (https://www.baseball-reference.com/players/p/phillev01.shtml),2:43,N,"48,034",1.06,-,
8,"Friday, Apr 7 (https://www.baseball-reference.com/boxes/?date=2023-04-07)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202304070.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2023.shtml),W,6,3,,4-4,2,1,Jameson (https://www.baseball-reference.com/players/j/jamesdr01.shtml),Kershaw (https://www.baseball-reference.com/players/k/kershcl01.shtml),,2:28,N,"30,249",0.98,+,
9,"Saturday, Apr 8 (https://www.baseball-reference.com/boxes/?date=2023-04-08)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202304080.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2023.shtml),W,12,8,,5-4,1,Tied,Nelson (https://www.baseball-reference.com/players/n/nelsoky01.shtml),Syndergaard (https://www.baseball-reference.com/players/s/syndeno01.shtml),,2:43,N,"26,881",1.03,++,
