Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,2022/04/07,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202204070.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2022.shtml),W-wo,4,2,,1-0,1,up 0.5,Mantiply (https://www.baseball-reference.com/players/m/mantijo01.shtml),Suarez (https://www.baseball-reference.com/players/s/suarero01.shtml),,3:18,N,"35,508",0.98,+,
2,2022/04/08,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202204080.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2022.shtml),L,0,3,,1-1,3,0.5,Manaea (https://www.baseball-reference.com/players/m/manaese01.shtml),Pérez (https://www.baseball-reference.com/players/p/perezol01.shtml),Rogers (https://www.baseball-reference.com/players/r/rogerta01.shtml),2:44,N,"17,297",1.06,-,
3,2022/04/09,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202204090.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2022.shtml),L,2,5,,1-2,5,1,Wilson (https://www.baseball-reference.com/players/w/wilsost02.shtml),Kennedy (https://www.baseball-reference.com/players/k/kenneia01.shtml),Rogers (https://www.baseball-reference.com/players/r/rogerta01.shtml),2:52,N,"19,504",0.96,--,
4,2022/04/10,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202204100.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2022.shtml),L,5,10,,1-3,5,2,Adams (https://www.baseball-reference.com/players/a/adamsau02.shtml),Smith (https://www.baseball-reference.com/players/s/smithca03.shtml),,3:15,D,"19,089",0.93,---,
5,2022/04/12,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202204120.shtml),ARI,,HOU (https://www.baseball-reference.com/teams/HOU/2022.shtml),L,1,2,,1-4,5,3,Neris (https://www.baseball-reference.com/players/n/nerishe01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),Pressly (https://www.baseball-reference.com/players/p/pressry01.shtml),3:20,N,"17,674",0.78,----,
6,2022/04/13,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202204130.shtml),ARI,,HOU (https://www.baseball-reference.com/teams/HOU/2022.shtml),W-wo,3,2,10,2-4,5,2.5,Pérez (https://www.baseball-reference.com/players/p/perezol01.shtml),Pressly (https://www.baseball-reference.com/players/p/pressry01.shtml),,3:50,D,"12,660",0.75,+,
7,2022/04/15,boxscore (https://www.baseball-reference.com/boxes/NYN/NYN202204150.shtml),ARI,@,NYM (https://www.baseball-reference.com/teams/NYM/2022.shtml),L,3,10,,2-5,5,3,Bassitt (https://www.baseball-reference.com/players/b/bassich01.shtml),Davies (https://www.baseball-reference.com/players/d/davieza02.shtml),,3:24,D,"43,820",0.79,-,
8,2022/04/16,boxscore (https://www.baseball-reference.com/boxes/NYN/NYN202204160.shtml),ARI,@,NYM (https://www.baseball-reference.com/teams/NYM/2022.shtml),W,3,2,,3-5,5,3,Poppen (https://www.baseball-reference.com/players/p/poppese01.shtml),Rodríguez (https://www.baseball-reference.com/players/r/rodrijo06.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),3:12,D,"37,935",0.77,+,
9,2022/04/17,boxscore (https://www.baseball-reference.com/boxes/NYN/NYN202204170.shtml),ARI,@,NYM (https://www.baseball-reference.com/teams/NYM/2022.shtml),L,0,5,,3-6,5,4,Shreve (https://www.baseball-reference.com/players/s/shrevch01.shtml),Ramirez (https://www.baseball-reference.com/players/r/ramirno01.shtml),,2:59,D,"24,515",0.8,-,
10,2022/04/19,boxscore (https://www.baseball-reference.com/boxes/WAS/WAS202204191.shtml),ARI,@,WSN (https://www.baseball-reference.com/teams/WSN/2022.shtml),L,1,6,,3-7,5,5,Gray (https://www.baseball-reference.com/players/g/grayjo03.shtml),Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),,3:08,D,"9,261",0.75,--,2022-04-18 (Rain)
11,2022/04/19,boxscore (https://www.baseball-reference.com/boxes/WAS/WAS202204192.shtml),ARI,@,WSN (https://www.baseball-reference.com/teams/WSN/2022.shtml),L,0,1,,3-8,5,5,Adon (https://www.baseball-reference.com/players/a/adonjo01.shtml),Gilbert (https://www.baseball-reference.com/players/g/gilbety01.shtml),Rainey (https://www.baseball-reference.com/players/r/raineta01.shtml),2:31,N,"11,720",0.72,---,
