Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
12,2022/04/20,boxscore (https://www.baseball-reference.com/boxes/WAS/WAS202204200.shtml),ARI,@,WSN (https://www.baseball-reference.com/teams/WSN/2022.shtml),W,11,2,,4-8,5,5,Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Fedde (https://www.baseball-reference.com/players/f/feddeer01.shtml),,3:12,N,"15,774",0.68,+,
13,2022/04/21,boxscore (https://www.baseball-reference.com/boxes/WAS/WAS202204210.shtml),ARI,@,WSN (https://www.baseball-reference.com/teams/WSN/2022.shtml),W,4,3,,5-8,5,4.5,Davies (https://www.baseball-reference.com/players/d/davieza02.shtml),Rogers (https://www.baseball-reference.com/players/r/rogerjo01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),3:00,D,"14,424",0.73,++,
14,2022/04/22,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202204220.shtml),ARI,,NYM (https://www.baseball-reference.com/teams/NYM/2022.shtml),L,5,6,10,5-9,5,5.5,Díaz (https://www.baseball-reference.com/players/d/diazed04.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),Lugo (https://www.baseball-reference.com/players/l/lugose01.shtml),3:29,N,"20,939",0.79,-,
15,2022/04/23,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202204230.shtml),ARI,,NYM (https://www.baseball-reference.com/teams/NYM/2022.shtml),W,5,2,,6-9,5,4.5,Castellanos (https://www.baseball-reference.com/players/c/castehu01.shtml),Williams (https://www.baseball-reference.com/players/w/willitr01.shtml),Mantiply (https://www.baseball-reference.com/players/m/mantijo01.shtml),3:19,N,"25,413",0.69,+,
16,2022/04/24,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202204240.shtml),ARI,,NYM (https://www.baseball-reference.com/teams/NYM/2022.shtml),L,2,6,,6-10,5,5.5,Megill (https://www.baseball-reference.com/players/m/megilty01.shtml),Wendelken (https://www.baseball-reference.com/players/w/wendejb01.shtml),,2:56,D,"23,570",0.74,-,
17,2022/04/25,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202204250.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2022.shtml),L,0,4,,6-11,5,6.5,Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),,2:33,N,"17,750",0.71,--,
18,2022/04/26,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202204260.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2022.shtml),W,5,3,,7-11,5,6,Kennedy (https://www.baseball-reference.com/players/k/kenneia01.shtml),Graterol (https://www.baseball-reference.com/players/g/gratebr01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),2:53,N,"18,063",0.67,+,
19,2022/04/27,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202204270.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2022.shtml),W,3,1,,8-11,5,5,Kennedy (https://www.baseball-reference.com/players/k/kenneia01.shtml),Hudson (https://www.baseball-reference.com/players/h/hudsoda01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),2:36,D,"15,138",0.7,++,
20,2022/04/28,boxscore (https://www.baseball-reference.com/boxes/SLN/SLN202204280.shtml),ARI,@,STL (https://www.baseball-reference.com/teams/STL/2022.shtml),L,3,8,,8-12,5,5.5,Hudson (https://www.baseball-reference.com/players/h/hudsoda02.shtml),Castellanos (https://www.baseball-reference.com/players/c/castehu01.shtml),,3:01,N,"33,464",0.75,-,
21,2022/04/29,boxscore (https://www.baseball-reference.com/boxes/SLN/SLN202204290.shtml),ARI,@,STL (https://www.baseball-reference.com/teams/STL/2022.shtml),W,6,2,,9-12,5,5,Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Wainwright (https://www.baseball-reference.com/players/w/wainwad01.shtml),,3:24,N,"40,753",0.68,+,
22,2022/04/30,boxscore (https://www.baseball-reference.com/boxes/SLN/SLN202204300.shtml),ARI,@,STL (https://www.baseball-reference.com/teams/STL/2022.shtml),W,2,0,,10-12,5,4.5,Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Mikolas (https://www.baseball-reference.com/players/m/mikolmi01.shtml),Kennedy (https://www.baseball-reference.com/players/k/kenneia01.shtml),2:38,D,"40,144",0.71,++,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
23,2022/05/01,boxscore (https://www.baseball-reference.com/boxes/SLN/SLN202205010.shtml),ARI,@,STL (https://www.baseball-reference.com/teams/STL/2022.shtml),L,5,7,,10-13,5,5,Whitley (https://www.baseball-reference.com/players/w/whitlko01.shtml),Middleton (https://www.baseball-reference.com/players/m/middlke01.shtml),Helsley (https://www.baseball-reference.com/players/h/helslry01.shtml),3:14,D,"45,123",0.74,-,
24,2022/05/02,boxscore (https://www.baseball-reference.com/boxes/MIA/MIA202205020.shtml),ARI,@,MIA (https://www.baseball-reference.com/teams/MIA/2022.shtml),W,5,4,,11-13,5,4.5,Gallen (https://www.baseball-reference.com/players/g/galleza01.shtml),López (https://www.baseball-reference.com/players/l/lopezpa01.shtml),Kennedy (https://www.baseball-reference.com/players/k/kenneia01.shtml),3:27,N,"6,224",0.7,+,
25,2022/05/03,boxscore (https://www.baseball-reference.com/boxes/MIA/MIA202205030.shtml),ARI,@,MIA (https://www.baseball-reference.com/teams/MIA/2022.shtml),W,5,4,,12-13,5,4.5,Castellanos (https://www.baseball-reference.com/players/c/castehu01.shtml),Rogers (https://www.baseball-reference.com/players/r/rogertr01.shtml),Mantiply (https://www.baseball-reference.com/players/m/mantijo01.shtml),3:24,N,"6,263",0.76,++,
26,2022/05/04,boxscore (https://www.baseball-reference.com/boxes/MIA/MIA202205040.shtml),ARI,@,MIA (https://www.baseball-reference.com/teams/MIA/2022.shtml),W,8,7,,13-13,5,4.5,Middleton (https://www.baseball-reference.com/players/m/middlke01.shtml),Bender (https://www.baseball-reference.com/players/b/bendean01.shtml),Kennedy (https://www.baseball-reference.com/players/k/kenneia01.shtml),3:25,D,"7,356",0.85,+++,
27,2022/05/06,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205060.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2022.shtml),W,4,1,,14-13,5,4,Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Estévez (https://www.baseball-reference.com/players/e/estevca01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),2:47,N,"18,551",0.9,++++,
28,2022/05/07,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205070.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2022.shtml),L,1,4,,14-14,5,5.5,Colomé (https://www.baseball-reference.com/players/c/colomal01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),Bard (https://www.baseball-reference.com/players/b/bardda01.shtml),3:19,N,"24,133",0.99,-,
29,2022/05/08,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205080.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2022.shtml),W,4,0,,15-14,5,5.5,Gallen (https://www.baseball-reference.com/players/g/galleza01.shtml),Márquez (https://www.baseball-reference.com/players/m/marquge01.shtml),,2:44,D,"19,323",0.88,+,
30,2022/05/09,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205090.shtml),ARI,,MIA (https://www.baseball-reference.com/teams/MIA/2022.shtml),W,4,3,,16-14,5,4.5,Nelson (https://www.baseball-reference.com/players/n/nelsoky01.shtml),Hernández (https://www.baseball-reference.com/players/h/hernael01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),2:50,N,"11,571",0.86,++,
31,2022/05/10,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205100.shtml),ARI,,MIA (https://www.baseball-reference.com/teams/MIA/2022.shtml),W,9,3,,17-14,4,4.5,Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Luzardo (https://www.baseball-reference.com/players/l/luzarje01.shtml),,3:17,N,"8,855",0.94,+++,
32,2022/05/11,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205110.shtml),ARI,,MIA (https://www.baseball-reference.com/teams/MIA/2022.shtml),L,3,11,,17-15,4,4.5,Bass (https://www.baseball-reference.com/players/b/bassan01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),,2:58,D,"9,058",0.94,-,
33,2022/05/13,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205130.shtml),ARI,,CHC (https://www.baseball-reference.com/teams/CHC/2022.shtml),W,4,3,,18-15,4,3,Davies (https://www.baseball-reference.com/players/d/davieza02.shtml),Smyly (https://www.baseball-reference.com/players/s/smylydr01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),2:56,N,"21,765",0.94,+,
34,2022/05/14,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205140.shtml),ARI,,CHC (https://www.baseball-reference.com/teams/CHC/2022.shtml),L,2,4,,18-16,4,3,Givens (https://www.baseball-reference.com/players/g/givenmy01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),Wick (https://www.baseball-reference.com/players/w/wickro01.shtml),3:22,N,"25,169",0.94,-,
35,2022/05/15,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205150.shtml),ARI,,CHC (https://www.baseball-reference.com/teams/CHC/2022.shtml),L,2,3,,18-17,4,4,Effross (https://www.baseball-reference.com/players/e/effrosc01.shtml),Kennedy (https://www.baseball-reference.com/players/k/kenneia01.shtml),Wick (https://www.baseball-reference.com/players/w/wickro01.shtml),3:05,D,"23,309",0.92,--,
36,2022/05/16,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN202205160.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2022.shtml),L,4,5,,18-18,4,5,Gonsolin (https://www.baseball-reference.com/players/g/gonsoto01.shtml),Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Kimbrel (https://www.baseball-reference.com/players/k/kimbrcr01.shtml),2:56,N,"42,650",0.97,---,
37,2022/05/17,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN202205171.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2022.shtml),L,6,7,,18-19,4,7,White (https://www.baseball-reference.com/players/w/whitemi03.shtml),Gilbert (https://www.baseball-reference.com/players/g/gilbety01.shtml),Kimbrel (https://www.baseball-reference.com/players/k/kimbrcr01.shtml),3:10,D,"42,089",0.92,----,
38,2022/05/17,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN202205172.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2022.shtml),L,3,12,,18-20,4,7,Anderson (https://www.baseball-reference.com/players/a/anderty01.shtml),Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),,2:45,N,"46,850",0.88,-----,
39,2022/05/18,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN202205180.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2022.shtml),L,3,5,,18-21,5,8,Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),Davies (https://www.baseball-reference.com/players/d/davieza02.shtml),Hudson (https://www.baseball-reference.com/players/h/hudsoda01.shtml),3:01,D,"35,643",0.79,------,
40,2022/05/19,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN202205190.shtml),ARI,@,CHC (https://www.baseball-reference.com/teams/CHC/2022.shtml),W,3,1,,19-21,5,7.5,Gallen (https://www.baseball-reference.com/players/g/galleza01.shtml),Stroman (https://www.baseball-reference.com/players/s/stromma01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),3:10,N,"32,631",0.67,+,
41,2022/05/20,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN202205200.shtml),ARI,@,CHC (https://www.baseball-reference.com/teams/CHC/2022.shtml),W,10,6,,20-21,4,7.5,Castellanos (https://www.baseball-reference.com/players/c/castehu01.shtml),Hendricks (https://www.baseball-reference.com/players/h/hendrky01.shtml),,3:06,D,"31,235",0.74,++,
42,2022/05/21,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN202205210.shtml),ARI,@,CHC (https://www.baseball-reference.com/teams/CHC/2022.shtml),W,7,6,10,21-21,4,7.5,Kennedy (https://www.baseball-reference.com/players/k/kenneia01.shtml),Wick (https://www.baseball-reference.com/players/w/wickro01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),3:42,D,"32,269",0.76,+++,
43,2022/05/22,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN202205220.shtml),ARI,@,CHC (https://www.baseball-reference.com/teams/CHC/2022.shtml),L,4,5,,21-22,4,7.5,Thompson (https://www.baseball-reference.com/players/t/thompke02.shtml),Kennedy (https://www.baseball-reference.com/players/k/kenneia01.shtml),,2:43,D,"32,606",0.81,-,
44,2022/05/23,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205230.shtml),ARI,,KCR (https://www.baseball-reference.com/teams/KCR/2022.shtml),W,9,5,,22-22,4,7.5,Wendelken (https://www.baseball-reference.com/players/w/wendejb01.shtml),Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),,3:36,N,"14,629",0.75,+,
45,2022/05/24,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205240.shtml),ARI,,KCR (https://www.baseball-reference.com/teams/KCR/2022.shtml),W,8,6,,23-22,4,7.5,Ramirez (https://www.baseball-reference.com/players/r/ramirno01.shtml),Clarke (https://www.baseball-reference.com/players/c/clarkta01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),3:09,N,"12,616",0.75,++,
46,2022/05/26,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205260.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2022.shtml),L,1,14,,23-23,4,8,Bruihl (https://www.baseball-reference.com/players/b/bruihju01.shtml),Castellanos (https://www.baseball-reference.com/players/c/castehu01.shtml),,3:21,N,"17,057",0.94,-,
47,2022/05/27,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205270.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2022.shtml),L,4,6,,23-24,4,9,Graterol (https://www.baseball-reference.com/players/g/gratebr01.shtml),Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),,3:11,N,"24,865",0.84,--,
48,2022/05/28,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205280.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2022.shtml),L,2,3,,23-25,4,10,Gonsolin (https://www.baseball-reference.com/players/g/gonsoto01.shtml),Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Hudson (https://www.baseball-reference.com/players/h/hudsoda01.shtml),3:12,D,"30,819",0.78,---,
49,2022/05/29,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205290.shtml),ARI,,LAD (https://www.baseball-reference.com/teams/LAD/2022.shtml),L,1,3,,23-26,4,11,Anderson (https://www.baseball-reference.com/players/a/anderty01.shtml),Davies (https://www.baseball-reference.com/players/d/davieza02.shtml),Kimbrel (https://www.baseball-reference.com/players/k/kimbrcr01.shtml),2:47,D,"30,482",0.72,----,
50,2022/05/30,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205300.shtml),ARI,,ATL (https://www.baseball-reference.com/teams/ATL/2022.shtml),W,6,2,,24-26,4,10,Gallen (https://www.baseball-reference.com/players/g/galleza01.shtml),Strider (https://www.baseball-reference.com/players/s/stridsp01.shtml),,2:53,N,"20,735",0.65,+,
51,2022/05/31,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202205310.shtml),ARI,,ATL (https://www.baseball-reference.com/teams/ATL/2022.shtml),W-wo,8,7,10,25-26,4,9,Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),Stephens (https://www.baseball-reference.com/players/s/stephja01.shtml),,3:35,N,"12,686",0.67,++,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
52,2022/06/01,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202206010.shtml),ARI,,ATL (https://www.baseball-reference.com/teams/ATL/2022.shtml),L,0,6,,25-27,4,9,Wright (https://www.baseball-reference.com/players/w/wrighky01.shtml),Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),,2:59,D,"12,370",0.75,-,
53,2022/06/03,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT202206030.shtml),ARI,@,PIT (https://www.baseball-reference.com/teams/PIT/2022.shtml),W,8,6,,26-27,4,9.5,Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Brubaker (https://www.baseball-reference.com/players/b/brubajt01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),3:15,N,"16,444",0.71,+,
54,2022/06/04,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT202206040.shtml),ARI,@,PIT (https://www.baseball-reference.com/teams/PIT/2022.shtml),L-wo,1,2,,26-28,4,9.5,Stratton (https://www.baseball-reference.com/players/s/stratch01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),,2:46,D,"19,149",0.76,-,
55,2022/06/05,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT202206050.shtml),ARI,@,PIT (https://www.baseball-reference.com/teams/PIT/2022.shtml),L,0,3,,26-29,4,9.5,Thompson (https://www.baseball-reference.com/players/t/thompza01.shtml),Gallen (https://www.baseball-reference.com/players/g/galleza01.shtml),Bednar (https://www.baseball-reference.com/players/b/bednada01.shtml),2:56,D,"11,796",0.7,--,
56,2022/06/06,boxscore (https://www.baseball-reference.com/boxes/CIN/CIN202206060.shtml),ARI,@,CIN (https://www.baseball-reference.com/teams/CIN/2022.shtml),L,0,7,7,26-30,4,10,Greene (https://www.baseball-reference.com/players/g/greenhu01.shtml),Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),,2:13,N,"9,485",0.61,---,
57,2022/06/07,boxscore (https://www.baseball-reference.com/boxes/CIN/CIN202206070.shtml),ARI,@,CIN (https://www.baseball-reference.com/teams/CIN/2022.shtml),L,8,14,,26-31,4,10,Ashcraft (https://www.baseball-reference.com/players/a/ashcrgr01.shtml),Gilbert (https://www.baseball-reference.com/players/g/gilbety01.shtml),,3:12,N,"11,512",0.56,----,
58,2022/06/08,boxscore (https://www.baseball-reference.com/boxes/CIN/CIN202206080.shtml),ARI,@,CIN (https://www.baseball-reference.com/teams/CIN/2022.shtml),W,7,0,,27-31,4,10,Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Minor (https://www.baseball-reference.com/players/m/minormi01.shtml),,3:18,N,"11,957",0.53,+,
59,2022/06/09,boxscore (https://www.baseball-reference.com/boxes/CIN/CIN202206090.shtml),ARI,@,CIN (https://www.baseball-reference.com/teams/CIN/2022.shtml),W,5,4,,28-31,4,10,Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),Santillan (https://www.baseball-reference.com/players/s/santito01.shtml),Kennedy (https://www.baseball-reference.com/players/k/kenneia01.shtml),3:29,D,"13,167",0.57,++,
60,2022/06/10,boxscore (https://www.baseball-reference.com/boxes/PHI/PHI202206100.shtml),ARI,@,PHI (https://www.baseball-reference.com/teams/PHI/2022.shtml),L,5,7,,28-32,4,10,Gibson (https://www.baseball-reference.com/players/g/gibsoky01.shtml),Gallen (https://www.baseball-reference.com/players/g/galleza01.shtml),Knebel (https://www.baseball-reference.com/players/k/knebeco01.shtml),3:24,N,"37,423",0.66,-,
61,2022/06/11,boxscore (https://www.baseball-reference.com/boxes/PHI/PHI202206110.shtml),ARI,@,PHI (https://www.baseball-reference.com/teams/PHI/2022.shtml),L,0,4,,28-33,4,10,Wheeler (https://www.baseball-reference.com/players/w/wheelza01.shtml),Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),,2:56,D,"30,820",0.63,--,
62,2022/06/12,boxscore (https://www.baseball-reference.com/boxes/PHI/PHI202206120.shtml),ARI,@,PHI (https://www.baseball-reference.com/teams/PHI/2022.shtml),W,13,1,,29-33,4,9,Weaver (https://www.baseball-reference.com/players/w/weavelu01.shtml),Suárez (https://www.baseball-reference.com/players/s/suarera01.shtml),,3:50,D,"41,218",0.56,+,
63,2022/06/13,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202206130.shtml),ARI,,CIN (https://www.baseball-reference.com/teams/CIN/2022.shtml),L,4,5,,29-34,4,9.5,Minor (https://www.baseball-reference.com/players/m/minormi01.shtml),Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Strickland (https://www.baseball-reference.com/players/s/strichu01.shtml),3:20,N,"13,735",0.55,-,
64,2022/06/14,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202206140.shtml),ARI,,CIN (https://www.baseball-reference.com/teams/CIN/2022.shtml),L,3,5,12,29-35,4,10.5,Cessa (https://www.baseball-reference.com/players/c/cessalu01.shtml),Poppen (https://www.baseball-reference.com/players/p/poppese01.shtml),Kuhnel (https://www.baseball-reference.com/players/k/kuhnejo01.shtml),3:41,N,"15,081",0.46,--,
65,2022/06/15,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202206150.shtml),ARI,,CIN (https://www.baseball-reference.com/teams/CIN/2022.shtml),W,7,4,,30-35,4,10.5,Ramirez (https://www.baseball-reference.com/players/r/ramirno01.shtml),Warren (https://www.baseball-reference.com/players/w/warrear01.shtml),,2:50,D,"14,917",0.42,+,
66,2022/06/17,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202206170.shtml),ARI,,MIN (https://www.baseball-reference.com/teams/MIN/2022.shtml),W,7,2,,31-35,4,10,Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Smeltzer (https://www.baseball-reference.com/players/s/smeltde01.shtml),,2:40,N,"26,351",0.43,++,
67,2022/06/18,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202206180.shtml),ARI,,MIN (https://www.baseball-reference.com/teams/MIN/2022.shtml),L,1,11,,31-36,4,10.5,Bundy (https://www.baseball-reference.com/players/b/bundydy01.shtml),Weaver (https://www.baseball-reference.com/players/w/weavelu01.shtml),,2:40,N,"24,338",0.45,-,
68,2022/06/19,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202206190.shtml),ARI,,MIN (https://www.baseball-reference.com/teams/MIN/2022.shtml),W,7,1,,32-36,4,9.5,Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Archer (https://www.baseball-reference.com/players/a/archech01.shtml),,2:51,D,"30,690",0.4,+,
69,2022/06/20,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN202206200.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2022.shtml),L,1,4,,32-37,4,10,Darvish (https://www.baseball-reference.com/players/d/darviyu01.shtml),Davies (https://www.baseball-reference.com/players/d/davieza02.shtml),Rogers (https://www.baseball-reference.com/players/r/rogerta01.shtml),2:36,N,"35,430",0.54,-,
