Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
46,2018/05/20,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201805200.shtml),PIT,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),L,5,8,,26-20,2,1.5,Yates (https://www.baseball-reference.com/players/y/yateski01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),Hand (https://www.baseball-reference.com/players/h/handbr01.shtml),3:15,D,"17,783",1.22,---,
47,2018/05/22,boxscore (https://www.baseball-reference.com/boxes/CIN/CIN201805220.shtml),PIT,@,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),L,2,7,,26-21,3,3,Harvey (https://www.baseball-reference.com/players/h/harvema01.shtml),Taillon (https://www.baseball-reference.com/players/t/taillja01.shtml),,2:49,N,"16,144",1.11,----,
48,2018/05/23,boxscore (https://www.baseball-reference.com/boxes/CIN/CIN201805230.shtml),PIT,@,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),W,5,4,12,27-21,2,3,Brault (https://www.baseball-reference.com/players/b/braulst01.shtml),Floro (https://www.baseball-reference.com/players/f/florody01.shtml),Crick (https://www.baseball-reference.com/players/c/crickky01.shtml),4:21,N,"18,659",1.13,+,
49,2018/05/24,boxscore (https://www.baseball-reference.com/boxes/CIN/CIN201805240.shtml),PIT,@,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),L,4,5,,27-22,2,3,Castillo (https://www.baseball-reference.com/players/c/castilu02.shtml),Nova (https://www.baseball-reference.com/players/n/novaiv01.shtml),Hughes (https://www.baseball-reference.com/players/h/hugheja02.shtml),2:50,D,"14,853",1.18,-,
50,2018/05/25,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201805250.shtml),PIT,,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),W,8,1,,28-22,2,3,Musgrove (https://www.baseball-reference.com/players/m/musgrjo01.shtml),Gant (https://www.baseball-reference.com/players/g/gantjo01.shtml),,2:37,N,"22,629",1.35,+,
51,2018/05/26,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201805260.shtml),PIT,,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),L,1,4,,28-23,2,4,Flaherty (https://www.baseball-reference.com/players/f/flaheja01.shtml),Williams (https://www.baseball-reference.com/players/w/willitr01.shtml),Norris (https://www.baseball-reference.com/players/n/norribu01.shtml),2:52,D,"22,133",1.41,-,
52,2018/05/27,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201805270.shtml),PIT,,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),L,4,6,,28-24,4,5,Tuivailala (https://www.baseball-reference.com/players/t/tuivasa01.shtml),Feliz (https://www.baseball-reference.com/players/f/felizmi01.shtml),Norris (https://www.baseball-reference.com/players/n/norribu01.shtml),2:58,D,"19,608",1.3,--,
53,2018/05/28,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201805280.shtml),PIT,,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L,0,7,,28-25,4,6,Montgomery (https://www.baseball-reference.com/players/m/montgmi01.shtml),Kuhl (https://www.baseball-reference.com/players/k/kuhlch01.shtml),,2:53,D,"19,382",1.19,---,
54,2018/05/29,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201805290.shtml),PIT,,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L,6,8,,28-26,4,6,Lester (https://www.baseball-reference.com/players/l/lestejo01.shtml),Santana (https://www.baseball-reference.com/players/s/santaed01.shtml),Morrow (https://www.baseball-reference.com/players/m/morrobr01.shtml),3:03,N,"11,475",1.13,----,
55,2018/05/30,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201805300.shtml),PIT,,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),W,2,1,,29-26,4,6,Musgrove (https://www.baseball-reference.com/players/m/musgrjo01.shtml),Hendricks (https://www.baseball-reference.com/players/h/hendrky01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),2:50,N,"14,126",1.04,+,
56,2018/05/31,boxscore (https://www.baseball-reference.com/boxes/SLN/SLN201805310.shtml),PIT,@,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),L-wo,8,10,,29-27,4,6.5,Mayers (https://www.baseball-reference.com/players/m/mayermi01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),,3:43,N,"40,832",1.12,-,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
57,2018/06/01,boxscore (https://www.baseball-reference.com/boxes/SLN/SLN201806010.shtml),PIT,@,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),W,4,0,,30-27,4,5.5,Taillon (https://www.baseball-reference.com/players/t/taillja01.shtml),Mikolas (https://www.baseball-reference.com/players/m/mikolmi01.shtml),,2:46,N,"47,135",1.05,+,
58,2018/06/02,boxscore (https://www.baseball-reference.com/boxes/SLN/SLN201806020.shtml),PIT,@,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),L-wo,2,3,,30-28,4,6.5,Norris (https://www.baseball-reference.com/players/n/norribu01.shtml),Rodríguez (https://www.baseball-reference.com/players/r/rodriri05.shtml),,2:48,D,"44,492",1.13,-,
59,2018/06/03,boxscore (https://www.baseball-reference.com/boxes/SLN/SLN201806030.shtml),PIT,@,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),L,0,5,,30-29,4,6.5,Wacha (https://www.baseball-reference.com/players/w/wachami01.shtml),Kingham (https://www.baseball-reference.com/players/k/kinghni01.shtml),,2:25,D,"44,432",1.03,--,
60,2018/06/05,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806050.shtml),PIT,,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),L,0,5,,30-30,4,6.5,Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),Musgrove (https://www.baseball-reference.com/players/m/musgrjo01.shtml),,3:01,N,"12,879",0.88,---,
61,2018/06/06,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806060.shtml),PIT,,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),W,11,9,,31-30,4,5.5,Brault (https://www.baseball-reference.com/players/b/braulst01.shtml),Hudson (https://www.baseball-reference.com/players/h/hudsoda01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),3:48,N,"14,327",0.8,+,
62,2018/06/07,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806070.shtml),PIT,,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),L,7,8,,31-31,4,6,Báez (https://www.baseball-reference.com/players/b/baezpe01.shtml),Taillon (https://www.baseball-reference.com/players/t/taillja01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:37,D,"19,713",0.88,-,
63,2018/06/08,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN201806080.shtml),PIT,@,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L,1,3,,31-32,4,7,Montgomery (https://www.baseball-reference.com/players/m/montgmi01.shtml),Kuhl (https://www.baseball-reference.com/players/k/kuhlch01.shtml),Strop (https://www.baseball-reference.com/players/s/stroppe01.shtml),3:00,D,"40,097",0.95,--,
64,2018/06/09,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN201806090.shtml),PIT,@,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L,0,2,,31-33,4,8,Lester (https://www.baseball-reference.com/players/l/lestejo01.shtml),Kingham (https://www.baseball-reference.com/players/k/kinghni01.shtml),Cishek (https://www.baseball-reference.com/players/c/cishest01.shtml),2:32,D,"41,045",0.82,---,
65,2018/06/10,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN201806100.shtml),PIT,@,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),W,7,1,,32-33,4,7,Nova (https://www.baseball-reference.com/players/n/novaiv01.shtml),Hendricks (https://www.baseball-reference.com/players/h/hendrky01.shtml),,3:22,D,"40,735",0.7,+,
66,2018/06/11,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201806110.shtml),PIT,@,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),L,5,9,,32-34,4,7.5,Bradley (https://www.baseball-reference.com/players/b/bradlar01.shtml),Crick (https://www.baseball-reference.com/players/c/crickky01.shtml),,3:07,N,"20,927",0.71,-,
67,2018/06/12,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201806120.shtml),PIT,@,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),L,8,13,,32-35,4,8,Salas (https://www.baseball-reference.com/players/s/salasfe01.shtml),Williams (https://www.baseball-reference.com/players/w/willitr01.shtml),,3:56,N,"22,488",0.66,--,
68,2018/06/13,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201806130.shtml),PIT,@,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),W,5,4,,33-35,4,8,Taillon (https://www.baseball-reference.com/players/t/taillja01.shtml),Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),3:07,D,"32,803",0.61,+,
69,2018/06/15,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806150.shtml),PIT,,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),W,3,2,,34-35,4,8,Kuhl (https://www.baseball-reference.com/players/k/kuhlch01.shtml),Harvey (https://www.baseball-reference.com/players/h/harvema01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),2:53,N,"23,007",0.63,++,
70,2018/06/16,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806160.shtml),PIT,,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),W,6,2,,35-35,4,7,Nova (https://www.baseball-reference.com/players/n/novaiv01.shtml),Castillo (https://www.baseball-reference.com/players/c/castilu02.shtml),,2:44,D,"27,479",0.68,+++,
71,2018/06/17,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806170.shtml),PIT,,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),L,6,8,,35-36,4,7,DeSclafani (https://www.baseball-reference.com/players/d/desclan01.shtml),Musgrove (https://www.baseball-reference.com/players/m/musgrjo01.shtml),Iglesias (https://www.baseball-reference.com/players/i/iglesra01.shtml),3:15,D,"23,042",0.74,-,
