Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Sunday, Apr 2 (https://www.baseball-reference.com/boxes/?date=2017-04-02)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201704020.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2017.shtml),W-wo,6,5,,1-0,1,up 0.5,Rodney (https://www.baseball-reference.com/players/r/rodnefe01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),,3:23,D,"49,016",1.06,+,
2,"Tuesday, Apr 4 (https://www.baseball-reference.com/boxes/?date=2017-04-04)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201704040.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2017.shtml),L,4,8,,1-1,2,1,Cueto (https://www.baseball-reference.com/players/c/cuetojo01.shtml),Corbin (https://www.baseball-reference.com/players/c/corbipa01.shtml),,3:26,N,"19,378",1.12,-,
3,"Wednesday, Apr 5 (https://www.baseball-reference.com/boxes/?date=2017-04-05)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201704050.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2017.shtml),W,8,6,,2-1,1,Tied,Walker (https://www.baseball-reference.com/players/w/walketa01.shtml),Moore (https://www.baseball-reference.com/players/m/moorema02.shtml),Rodney (https://www.baseball-reference.com/players/r/rodnefe01.shtml),3:15,N,"14,675",1.03,+,
4,"Thursday, Apr 6 (https://www.baseball-reference.com/boxes/?date=2017-04-06)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201704060.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2017.shtml),W,9,3,,3-1,1,Tied,De La Rosa (https://www.baseball-reference.com/players/r/rosajo01.shtml),Samardzija (https://www.baseball-reference.com/players/s/samarje01.shtml),,3:00,N,"15,308",1.1,++,
5,"Friday, Apr 7 (https://www.baseball-reference.com/boxes/?date=2017-04-07)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201704070.shtml),ARI,,CLE (https://www.baseball-reference.com/teams/CLE/2017.shtml),W,7,3,,4-1,1,Tied,Miller (https://www.baseball-reference.com/players/m/millesh01.shtml),Tomlin (https://www.baseball-reference.com/players/t/tomlijo01.shtml),,3:19,N,"22,443",1,+++,
6,"Saturday, Apr 8 (https://www.baseball-reference.com/boxes/?date=2017-04-08)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201704080.shtml),ARI,,CLE (https://www.baseball-reference.com/teams/CLE/2017.shtml),W,11,2,,5-1,1,Tied,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Bauer (https://www.baseball-reference.com/players/b/bauertr01.shtml),,3:15,N,"28,437",1.01,++++,
7,"Sunday, Apr 9 (https://www.baseball-reference.com/boxes/?date=2017-04-09)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201704090.shtml),ARI,,CLE (https://www.baseball-reference.com/teams/CLE/2017.shtml),W,3,2,,6-1,1,up 1.0,Corbin (https://www.baseball-reference.com/players/c/corbipa01.shtml),Kluber (https://www.baseball-reference.com/players/k/klubeco01.shtml),Rodney (https://www.baseball-reference.com/players/r/rodnefe01.shtml),3:02,D,"30,191",1.05,+++++,
8,"Monday, Apr 10 (https://www.baseball-reference.com/boxes/?date=2017-04-10)",boxscore (https://www.baseball-reference.com/boxes/SFN/SFN201704100.shtml),ARI,@,SFG (https://www.baseball-reference.com/teams/SFG/2017.shtml),L,1,4,,6-2,1,up 1.0,Moore (https://www.baseball-reference.com/players/m/moorema02.shtml),Walker (https://www.baseball-reference.com/players/w/walketa01.shtml),Melancon (https://www.baseball-reference.com/players/m/melanma01.shtml),2:38,D,"42,129",1.21,-,
9,"Tuesday, Apr 11 (https://www.baseball-reference.com/boxes/?date=2017-04-11)",boxscore (https://www.baseball-reference.com/boxes/SFN/SFN201704110.shtml),ARI,@,SFG (https://www.baseball-reference.com/teams/SFG/2017.shtml),W,4,3,,7-2,1,up 1.0,Ray (https://www.baseball-reference.com/players/r/rayro02.shtml),Samardzija (https://www.baseball-reference.com/players/s/samarje01.shtml),Rodney (https://www.baseball-reference.com/players/r/rodnefe01.shtml),3:18,N,"41,562",1.21,+,
10,"Wednesday, Apr 12 (https://www.baseball-reference.com/boxes/?date=2017-04-12)",boxscore (https://www.baseball-reference.com/boxes/SFN/SFN201704120.shtml),ARI,@,SFG (https://www.baseball-reference.com/teams/SFG/2017.shtml),L,2,6,,7-3,1,up 1.0,Cain (https://www.baseball-reference.com/players/c/cainma01.shtml),Miller (https://www.baseball-reference.com/players/m/millesh01.shtml),,3:21,N,"41,656",1.23,-,
