Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
14,"Friday, Apr 16 (https://www.baseball-reference.com/boxes/?date=2021-04-16)",boxscore (https://www.baseball-reference.com/boxes/WAS/WAS202104160.shtml),ARI,@,WSN (https://www.baseball-reference.com/teams/WSN/2021.shtml),L-wo,0,1,,5-9,4,7,Hand (https://www.baseball-reference.com/players/h/handbr01.shtml),Young (https://www.baseball-reference.com/players/y/youngal01.shtml),,2:54,N,"8,056",0.76,-,
15,"Saturday, Apr 17 (https://www.baseball-reference.com/boxes/?date=2021-04-17)",boxscore (https://www.baseball-reference.com/boxes/WAS/WAS202104170.shtml),ARI,@,WSN (https://www.baseball-reference.com/teams/WSN/2021.shtml),L,2,6,,5-10,4,8,Fedde (https://www.baseball-reference.com/players/f/feddeer01.shtml),Weaver (https://www.baseball-reference.com/players/w/weavelu01.shtml),,3:23,D,"8,305",0.74,--,
16,"Sunday, Apr 18 (https://www.baseball-reference.com/boxes/?date=2021-04-18)",boxscore (https://www.baseball-reference.com/boxes/WAS/WAS202104180.shtml),ARI,@,WSN (https://www.baseball-reference.com/teams/WSN/2021.shtml),W,5,2,,6-10,4,7,Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Espino (https://www.baseball-reference.com/players/e/espinpa01.shtml),Crichton (https://www.baseball-reference.com/players/c/crichst01.shtml),3:20,D,"8,478",0.67,+,
17,"Tuesday, Apr 20 (https://www.baseball-reference.com/boxes/?date=2021-04-20)",boxscore (https://www.baseball-reference.com/boxes/CIN/CIN202104200.shtml),ARI,@,CIN (https://www.baseball-reference.com/teams/CIN/2021.shtml),W,5,4,,7-10,4,6.5,Bukauskas (https://www.baseball-reference.com/players/b/bukaujb01.shtml),Garrett (https://www.baseball-reference.com/players/g/garream01.shtml),Crichton (https://www.baseball-reference.com/players/c/crichst01.shtml),3:20,N,"8,085",0.72,++,
18,"Wednesday, Apr 21 (https://www.baseball-reference.com/boxes/?date=2021-04-21)",boxscore (https://www.baseball-reference.com/boxes/CIN/CIN202104210.shtml),ARI,@,CIN (https://www.baseball-reference.com/teams/CIN/2021.shtml),W,8,5,10,8-10,4,6,Clarke (https://www.baseball-reference.com/players/c/clarkta01.shtml),Pérez (https://www.baseball-reference.com/players/p/perezci01.shtml),,3:40,N,"8,025",0.78,+++,
19,"Thursday, Apr 22 (https://www.baseball-reference.com/boxes/?date=2021-04-22)",boxscore (https://www.baseball-reference.com/boxes/CIN/CIN202104220.shtml),ARI,@,CIN (https://www.baseball-reference.com/teams/CIN/2021.shtml),W,14,11,10,9-10,4,5,Smith (https://www.baseball-reference.com/players/s/smithca03.shtml),Sims (https://www.baseball-reference.com/players/s/simslu01.shtml),,4:26,D,"7,549",0.82,++++,
20,"Friday, Apr 23 (https://www.baseball-reference.com/boxes/?date=2021-04-23)",boxscore (https://www.baseball-reference.com/boxes/ATL/ATL202104230.shtml),ARI,@,ATL (https://www.baseball-reference.com/teams/ATL/2021.shtml),L,4,5,,9-11,4,5,Ynoa (https://www.baseball-reference.com/players/y/ynoahu01.shtml),Weaver (https://www.baseball-reference.com/players/w/weavelu01.shtml),Smith (https://www.baseball-reference.com/players/s/smithwi04.shtml),2:47,N,"19,258",0.92,-,
21,"Sunday, Apr 25 (https://www.baseball-reference.com/boxes/?date=2021-04-25) (1)",boxscore (https://www.baseball-reference.com/boxes/ATL/ATL202104251.shtml),ARI,@,ATL (https://www.baseball-reference.com/teams/ATL/2021.shtml),W,5,0,7,10-11,4,4,Gallen (https://www.baseball-reference.com/players/g/galleza01.shtml),Wilson (https://www.baseball-reference.com/players/w/wilsobr02.shtml),,2:10,D,,0.84,+,2021-04-24 (Rain)
22,"Sunday, Apr 25 (https://www.baseball-reference.com/boxes/?date=2021-04-25) (2)",boxscore (https://www.baseball-reference.com/boxes/ATL/ATL202104252.shtml),ARI,@,ATL (https://www.baseball-reference.com/teams/ATL/2021.shtml),W,7,0,7,11-11,4,4,Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Smyly (https://www.baseball-reference.com/players/s/smylydr01.shtml),,2:11,N,"20,693",0.87,++,
23,"Tuesday, Apr 27 (https://www.baseball-reference.com/boxes/?date=2021-04-27)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202104270.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2021.shtml),W,5,1,,12-11,3,2.5,Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Paddack (https://www.baseball-reference.com/players/p/paddach01.shtml),,2:53,N,"10,486",1.01,+++,
