gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
ANA202104010,CHA,ANA,ANA01,20210401,0,7:05 PM,night,9,2,TRUE,,171,13207,unknown,none,cloudy,81,tocf,6,munse701,,vanol901,hudsm901,rackd901,mosce901,(none),(none),mayem001,bumma001,igler001,regular,3,4,ANA,CHA,y,both,y,y,y,2021
CHN202104010,PIT,CHN,CHI11,20210401,0,1:20 PM,day,9,2,FALSE,,240,10343,unknown,none,sunny,36,ltor,7,frisd701,,wegnm901,guccc901,dejer901,porta901,(none),(none),howas002,hendk001,rodrr008,regular,5,3,PIT,CHN,y,both,y,y,y,2021
CIN202104010,SLN,CIN,CIN09,20210401,0,4:10 PM,day,9,2,FALSE,,211,12264,unknown,none,cloudy,37,torf,16,rothr701,,reynj901,randt901,ticht901,whitc901,(none),(none),gallg001,castl003,,regular,11,6,SLN,CIN,y,both,y,y,y,2021
COL202104010,LAN,COL,DEN02,20210401,0,2:10 PM,day,9,2,FALSE,,226,20570,unknown,none,sunny,70,tocf,5,einsd701,,welkb901,conrc901,hobep901,may-b901,(none),(none),gonzc002,kersc001,bardd001,regular,5,8,COL,LAN,y,both,y,y,y,2021
DET202104010,CLE,DET,DET05,20210401,0,1:10 PM,day,9,2,TRUE,,183,8000,unknown,snow,overcast,32,tocf,15,klonc701,,gibsg901,barkl901,littw901,willr901,(none),(none),boydm001,biebs001,sotog003,regular,2,3,DET,CLE,y,both,y,y,y,2021
KCA202104010,TEX,KCA,KAN06,20210401,0,3:10 PM,day,9,2,TRUE,,266,9155,unknown,none,sunny,50,fromrf,4,butcp701,,mealj901,hicke901,carav901,viscj901,(none),(none),hernc006,codyk001,daviw001,regular,10,14,KCA,TEX,y,both,y,y,y,2021
MIA202104010,TBA,MIA,MIA02,20210401,0,4:10 PM,day,9,2,FALSE,,164,7062,unknown,none,dome,72,unknown,0,jernr701,,laynj901,wendh902,estam901,wolcq901,(none),(none),thomr007,garcy001,castd002,regular,1,0,TBA,MIA,y,both,y,y,y,2021
MIL202104010,MIN,MIL,MIL06,20210401,0,1:10 PM,day,9,2,FALSE,,254,11740,unknown,none,dome,63,unknown,0,odrit701,,danlk901,buckc901,fairc901,hamaa901,(none),(none),hadej001,dobnr001,,regular,5,6,MIL,MIN,y,both,y,y,y,2021
NYA202104010,TOR,NYA,NYC21,20210401,0,1:05 PM,day,9,2,TRUE,,224,10850,unknown,none,cloudy,43,fromrf,16,sprej701,,carlm901,hoyej901,bakej902,segac901,(none),(none),romaj004,nelsn001,merrj001,regular,3,2,TOR,NYA,y,both,y,y,y,2021
OAK202104010,HOU,OAK,OAK01,20210401,0,7:07 PM,night,9,2,TRUE,,208,10436,unknown,none,sunny,68,torf,9,thomc701,,gormb901,johna901,belld901,barbs901,(none),(none),greiz001,bassc001,,regular,8,1,HOU,OAK,y,both,y,y,y,2021
PHI202104010,ATL,PHI,PHI13,20210401,0,3:05 PM,day,9,2,FALSE,,213,8529,unknown,none,cloudy,49,ltor,19,macom701,,millb901,eddid901,knigb901,morag901,(none),(none),brogc001,jonen001,,regular,2,3,PHI,ATL,y,both,y,y,y,2021
SDN202104010,ARI,SDN,SAN02,20210401,0,1:10 PM,day,9,2,FALSE,,206,10350,unknown,none,cloudy,85,ltor,10,zaveb701,,barrt901,herna901,sches901,navaj901,(none),(none),pagae001,youna002,melam001,regular,7,8,SDN,ARI,y,both,y,y,y,2021
SEA202104010,SFN,SEA,SEA03,20210401,0,7:10 PM,night,9,2,TRUE,,225,8174,unknown,none,cloudy,54,fromrf,3,radoe701,,nelsj901,diazl901,gibsh902,gonzm901,(none),(none),misia001,alvaj003,,regular,7,8,SEA,SFN,y,both,y,y,y,2021
ANA202104020,CHA,ANA,ANA01,20210402,0,6:38 PM,night,9,2,TRUE,,224,12763,unknown,none,sunny,66,tolf,10,munse701,,hudsm901,rackd901,mosce901,vanol901,(none),(none),kopem001,heana001,hendl001,regular,12,8,CHA,ANA,y,both,y,y,y,2021
BOS202104020,BAL,BOS,BOS07,20210402,0,2:10 PM,day,9,2,TRUE,,190,4452,unknown,none,cloudy,37,torf,10,ellib701,,westj901,kulpr901,drecb901,lentn901,(none),(none),meanj001,eovan001,valdc003,regular,3,0,BAL,BOS,y,both,y,y,y,2021
COL202104020,LAN,COL,DEN02,20210402,0,6:40 PM,night,9,2,FALSE,,199,20363,unknown,none,sunny,73,tolf,6,einsd701,,conrc901,hobep901,may-b901,welkb901,(none),(none),bauet001,senza001,,regular,11,6,LAN,COL,y,both,y,y,y,2021
MIA202104020,TBA,MIA,MIA02,20210402,0,7:10 PM,night,9,2,FALSE,,202,6115,unknown,none,dome,74,unknown,0,mcdob701,,wendh902,estam901,wolcq901,laynj901,(none),(none),kitta001,bassa001,castd002,regular,6,4,TBA,MIA,y,both,y,y,y,2021
OAK202104020,HOU,OAK,OAK01,20210402,0,6:40 PM,night,9,2,TRUE,,214,5446,unknown,none,cloudy,55,torf,17,thomc701,,johna901,belld901,barbs901,gormb901,(none),(none),abreb002,luzaj001,,regular,9,5,HOU,OAK,y,both,y,y,y,2021
SDN202104020,ARI,SDN,SAN02,20210402,0,7:10 PM,night,9,2,FALSE,,233,10350,unknown,none,sunny,63,ltor,5,zaveb701,,herna901,sches901,navaj901,barrt901,(none),(none),pagae001,kellm002,melam001,regular,2,4,SDN,ARI,y,both,y,y,y,2021
SEA202104020,SFN,SEA,SEA03,20210402,0,7:10 PM,night,9,2,TRUE,,196,8392,unknown,none,cloudy,53,ltor,2,padud701,,diazl901,gibsh902,gonzm901,nelsj901,(none),(none),peraw002,stecd001,mcgej001,regular,6,3,SFN,SEA,y,both,y,y,y,2021
ANA202104030,CHA,ANA,ANA01,20210403,0,6:07 PM,night,9,2,TRUE,,184,12043,unknown,none,sunny,71,tocf,10,franm701,,rackd901,mosce901,vanol901,hudsm901,(none),(none),guerj003,marse001,,regular,3,5,ANA,CHA,y,both,y,y,y,2021
BOS202104030,BAL,BOS,BOS07,20210403,0,1:10 PM,day,9,2,TRUE,,171,4571,unknown,none,sunny,46,ltor,15,ellib701,,kulpr901,drecb901,lentn901,westj901,(none),(none),pluta001,houct001,valdc003,regular,4,2,BAL,BOS,y,both,y,y,y,2021
CHN202104030,PIT,CHN,CHI11,20210403,0,1:20 PM,day,9,2,FALSE,,188,10343,unknown,none,sunny,62,tocf,8,speaa701,,guccc901,dejer901,porta901,wegnm901,(none),(none),arrij001,andet002,,regular,1,5,CHN,PIT,y,both,y,y,y,2021
CIN202104030,SLN,CIN,CIN09,20210403,0,4:10 PM,day,9,2,FALSE,,204,12213,unknown,none,sunny,66,rtol,13,rothr701,,randt901,ticht901,whitc901,reynj901,(none),(none),mahlt001,waina001,,regular,6,9,CIN,SLN,y,both,y,y,y,2021
COL202104030,LAN,COL,DEN02,20210403,0,6:10 PM,night,9,2,FALSE,,215,20688,unknown,none,sunny,77,rtol,8,einsd701,,hobep901,may-b901,welkb901,conrc901,(none),(none),treib001,givem001,jansk001,regular,6,5,LAN,COL,y,both,y,y,y,2021
DET202104030,CLE,DET,DET05,20210403,0,1:10 PM,day,9,2,TRUE,,197,8000,unknown,none,cloudy,49,ltor,20,kleir701,,barkl901,addir901,littw901,gibsg901,(none),(none),tehej001,plesz001,garcb001,regular,2,5,DET,CLE,y,both,y,y,y,2021
KCA202104030,TEX,KCA,KAN06,20210403,0,1:10 PM,day,9,2,TRUE,,173,8889,unknown,none,sunny,68,ltor,15,butcp701,,hicke901,carav901,viscj901,mealj901,(none),(none),minom001,sborj002,,regular,4,11,KCA,TEX,y,both,y,y,y,2021
MIA202104030,TBA,MIA,MIA02,20210403,0,6:10 PM,night,9,2,FALSE,,212,6179,unknown,none,dome,70,unknown,0,devej701,,estam901,wolcq901,laynj901,wendh902,(none),(none),bleir001,archc001,,regular,7,12,MIA,TBA,y,both,y,y,y,2021
MIL202104030,MIN,MIL,MIL06,20210403,0,6:10 PM,night,9,2,FALSE,,166,11383,unknown,none,dome,65,unknown,0,olsod701,,buckc901,fairc901,hamaa901,danlk901,(none),(none),berrj001,burnc002,coloa001,regular,2,0,MIN,MIL,y,both,y,y,y,2021
NYA202104030,TOR,NYA,NYC21,20210403,0,1:05 PM,day,9,2,TRUE,,218,10107,unknown,none,sunny,44,torf,11,sprej701,,hoyej901,bakej902,segac901,carlm901,(none),(none),loaij001,strir001,greec003,regular,3,5,NYA,TOR,y,both,y,y,y,2021
OAK202104030,HOU,OAK,OAK01,20210403,0,1:07 PM,day,9,2,TRUE,,204,5803,unknown,none,cloudy,60,torf,12,thomc701,,belld901,barbs901,gormb901,johna901,(none),(none),mccul002,irvic001,raleb001,regular,9,1,HOU,OAK,y,both,y,y,y,2021
PHI202104030,ATL,PHI,PHI13,20210403,0,4:05 PM,day,9,2,FALSE,,150,8582,unknown,none,sunny,53,ltor,8,golam701,,eddid901,knigb901,morag901,millb901,(none),(none),wheez001,mortc002,,regular,0,4,PHI,ATL,y,both,y,y,y,2021
SDN202104030,ARI,SDN,SAN02,20210403,0,5:40 PM,night,9,2,FALSE,,178,10350,unknown,none,sunny,64,torf,15,zaveb701,,sches901,navaj901,barrt901,herna901,(none),(none),musgj001,smitc006,weatr001,regular,0,7,SDN,ARI,y,both,y,y,y,2021
SEA202104030,SFN,SEA,SEA03,20210403,0,6:10 PM,night,9,2,TRUE,,179,8651,unknown,none,cloudy,60,unknown,2,peted701,,gibsh902,gonzm901,nelsj901,diazl901,(none),(none),flexc001,webbl001,montr004,regular,0,4,SEA,SFN,y,both,y,y,y,2021
ANA202104040,CHA,ANA,ANA01,20210404,0,5:37 PM,night,9,2,TRUE,,236,12396,unknown,none,cloudy,72,tolf,13,munse701,,mosce901,vanol901,hudsm901,rackd901,(none),(none),igler001,ruizj001,,regular,4,7,ANA,CHA,y,both,y,y,y,2021
BOS202104040,BAL,BOS,BOS07,20210404,0,1:10 PM,day,9,2,TRUE,,208,4458,unknown,none,sunny,56,ltor,10,ellib701,,drecb901,lentn901,westj901,kulpr901,(none),(none),zimmb002,richg002,,regular,11,3,BAL,BOS,y,both,y,y,y,2021
CHN202104040,PIT,CHN,CHI11,20210404,0,1:20 PM,day,9,2,FALSE,,189,10343,unknown,none,sunny,68,rtol,3,seipb701,,dejer901,porta901,wegnm901,guccc901,(none),(none),daviz001,kellm003,kimbc001,regular,3,4,CHN,PIT,y,both,y,y,y,2021
CIN202104040,SLN,CIN,CIN09,20210404,0,1:10 PM,day,9,2,FALSE,,180,11629,unknown,none,sunny,66,unknown,3,sherb701,,ticht901,whitc901,reynj901,randt901,(none),(none),hoffj003,martc006,,regular,1,12,CIN,SLN,y,both,y,y,y,2021
COL202104040,LAN,COL,DEN02,20210404,0,1:10 PM,day,9,2,FALSE,,171,20368,unknown,none,cloudy,77,ltor,10,einsd701,,may-b901,welkb901,conrc901,hobep901,(none),(none),uriaj001,gomba001,knebc001,regular,4,2,LAN,COL,y,both,y,y,y,2021
DET202104040,CLE,DET,DET05,20210404,0,1:10 PM,day,9,2,TRUE,,158,8000,unknown,none,sunny,61,ltor,3,klonc701,,addir901,littw901,gibsg901,barkl901,(none),(none),civaa001,norrd002,,regular,9,3,CLE,DET,y,both,y,y,y,2021
KCA202104040,TEX,KCA,KAN06,20210404,0,1:10 PM,day,9,2,TRUE,,173,8869,unknown,none,sunny,76,rtol,15,butcp701,,carav901,viscj901,mealj901,hicke901,(none),(none),lylej001,singb001,,regular,7,3,TEX,KCA,y,both,y,y,y,2021
MIL202104040,MIN,MIL,MIL06,20210404,0,1:10 PM,day,9,2,FALSE,,209,10666,unknown,none,sunny,67,fromcf,12,odrit701,,fairc901,hamaa901,danlk901,buckc901,(none),(none),pinem001,housa001,,regular,8,2,MIN,MIL,y,both,y,y,y,2021
NYA202104040,TOR,NYA,NYC21,20210404,0,1:05 PM,day,9,2,TRUE,,161,10066,unknown,none,sunny,53,fromrf,6,sprej701,,bakej902,segac901,carlm901,hoyej901,(none),(none),borur001,germd001,merrj001,regular,3,1,TOR,NYA,y,both,y,y,y,2021
OAK202104040,HOU,OAK,OAK01,20210404,0,1:07 PM,day,9,2,TRUE,,195,4504,unknown,none,cloudy,61,torf,10,thomc701,,barbs901,gormb901,johna901,belld901,(none),(none),bielb001,manas001,,regular,9,2,HOU,OAK,y,both,y,y,y,2021
PHI202104040,ATL,PHI,PHI13,20210404,0,1:05 PM,day,9,2,FALSE,,160,10773,unknown,none,sunny,63,fromcf,5,shutd701,,knigb901,morag901,millb901,eddid901,(none),(none),alvaj004,martc007,nerih001,regular,1,2,PHI,ATL,y,both,y,y,y,2021
SDN202104040,ARI,SDN,SAN02,20210404,0,1:10 PM,day,9,2,FALSE,,199,10350,unknown,none,sunny,71,ltor,6,whitj701,,navaj901,barrt901,herna901,sches901,(none),(none),widet001,paddc001,devec001,regular,3,1,ARI,SDN,y,both,y,y,y,2021
ANA202104050,HOU,ANA,ANA01,20210405,0,6:38 PM,night,9,2,TRUE,,241,13447,unknown,none,cloudy,65,rtol,10,johnc701,,barrt901,herna901,sches901,navaj901,(none),(none),watst001,smitj002,mayem001,regular,6,7,ANA,HOU,y,both,y,y,y,2021
BOS202104050,TBA,BOS,BOS07,20210405,0,7:10 PM,night,9,2,TRUE,,206,4577,unknown,none,cloudy,56,ltor,15,ellib701,,iassd901,fleta901,barrs901,rehaj901,(none),(none),piven001,wachm001,,regular,2,11,BOS,TBA,y,both,y,y,y,2021
CHN202104050,MIL,CHN,CHI11,20210405,0,6:40 PM,night,9,2,FALSE,,169,10343,unknown,none,cloudy,71,rtol,4,speaa701,,porta901,wegnm901,guccc901,ortir901,(none),(none),willt002,andeb004,milla003,regular,3,5,CHN,MIL,y,both,y,y,y,2021
CIN202104050,PIT,CIN,CIN09,20210405,0,6:40 PM,night,9,2,FALSE,,198,9097,unknown,none,sunny,80,rtol,11,rothr701,,littw901,gibsg901,barkl901,addir901,(none),(none),dools001,howas002,garra001,regular,3,5,CIN,PIT,y,both,y,y,y,2021
CLE202104050,KCA,CLE,CLE08,20210405,0,4:10 PM,day,9,2,TRUE,,172,8914,unknown,none,cloudy,44,fromrf,14,maveb701,,whitc901,reynj901,randt901,ticht901,(none),(none),duffd001,allel002,hahnj001,regular,3,0,KCA,CLE,y,both,y,y,y,2021
DET202104050,MIN,DET,DET05,20210405,0,1:10 PM,day,9,2,TRUE,,212,7232,unknown,none,cloudy,49,fromcf,8,klonc701,,hamaa901,danlk901,buckc901,fairc901,(none),(none),shoem001,urenj001,dobnr001,regular,15,6,MIN,DET,y,both,y,y,y,2021
MIA202104050,SLN,MIA,MIA02,20210405,0,6:40 PM,night,9,2,FALSE,,189,4605,unknown,none,sunny,72,ltor,13,mccac701,,wolcq901,laynj901,timmt901,bacce901,(none),(none),poncd001,roget003,reyea004,regular,4,1,SLN,MIA,y,both,y,y,y,2021
NYA202104050,BAL,NYA,NYC21,20210405,0,6:35 PM,night,9,2,TRUE,,178,9008,unknown,none,sunny,65,torf,17,sprej701,,holbs901,fostm901,wolfj901,muchm901,(none),(none),montj004,lopej004,,regular,0,7,NYA,BAL,y,both,y,y,y,2021
OAK202104050,LAN,OAK,OAK01,20210405,0,6:40 PM,night,9,2,TRUE,,215,6653,unknown,none,cloudy,55,torf,15,younj701,,gormb901,johna901,belld901,barbs901,(none),(none),may-d003,montf001,,regular,10,3,LAN,OAK,y,both,y,y,y,2021
PHI202104050,NYN,PHI,PHI13,20210405,0,7:05 PM,night,9,2,FALSE,,195,10782,unknown,none,cloudy,67,fromlf,17,macom701,,onorb901,reybd901,blakr901,kulpr901,(none),(none),brogc001,may-t001,alvaj004,regular,3,5,PHI,NYN,y,both,y,y,y,2021
SDN202104050,SFN,SDN,SAN02,20210405,0,7:10 PM,night,9,2,FALSE,,215,10350,unknown,none,cloudy,61,torf,8,maffj701,,vanol901,hudsm901,drakr901,mosce901,(none),(none),barac001,stamc001,mcgej001,regular,3,2,SFN,SDN,y,both,y,y,y,2021
SEA202104050,CHA,SEA,SEA03,20210405,0,7:10 PM,night,9,2,TRUE,,203,6436,unknown,none,sunny,51,tocf,3,padud701,,gonzm901,nelsj901,mahrn901,diazl901,(none),(none),rodoc001,shefj001,,regular,6,0,CHA,SEA,y,both,y,y,y,2021
TEX202104050,TOR,TEX,ARL03,20210405,0,3:05 PM,day,9,2,TRUE,,184,38238,unknown,none,cloudy,73,unknown,15,ruddw701,,viscj901,mealj901,hicke901,carav901,(none),(none),matzs001,foltm001,,regular,6,2,TOR,TEX,y,both,y,y,y,2021
ANA202104060,HOU,ANA,ANA01,20210406,0,1:07 PM,day,9,2,TRUE,,167,11122,unknown,none,cloudy,70,tolf,8,munse701,,herna901,sches901,navaj901,barrt901,(none),(none),presr001,igler001,,regular,4,2,HOU,ANA,y,both,y,y,y,2021
BOS202104060,TBA,BOS,BOS07,20210406,0,7:10 PM,night,9,2,TRUE,,265,4682,unknown,none,cloudy,51,fromrf,9,ellib701,,fleta901,barrs901,rehaj901,iassd901,(none),(none),valdp002,thomr007,,regular,5,6,BOS,TBA,y,both,y,y,y,2021
CHN202104060,MIL,CHN,CHI11,20210406,0,6:40 PM,night,9,2,FALSE,,186,10343,unknown,none,cloudy,79,tocf,11,speaa701,,wegnm901,guccc901,ortir901,porta901,(none),(none),peraf001,alzoa001,,regular,4,0,MIL,CHN,y,both,y,y,y,2021
CIN202104060,PIT,CIN,CIN09,20210406,0,6:40 PM,night,9,2,FALSE,,155,11093,unknown,none,cloudy,78,unknown,10,rothr701,,gibsg901,barkl901,addir901,littw901,(none),(none),milew001,cahit001,,regular,1,14,CIN,PIT,y,both,y,y,y,2021
COL202104060,ARI,COL,DEN02,20210406,0,6:40 PM,night,9,2,FALSE,,269,10240,unknown,none,cloudy,40,rtol,11,einsd701,,welkb901,conrc901,hobep901,may-b901,(none),(none),peacm001,bowdb001,,regular,10,8,ARI,COL,y,both,y,y,y,2021
DET202104060,MIN,DET,DET05,20210406,0,1:10 PM,day,9,2,TRUE,,240,7306,unknown,none,sunny,68,fromcf,5,klonc701,,danlk901,buckc901,fairc901,hamaa901,(none),(none),sotog003,roblh001,,regular,3,4,DET,MIN,y,both,y,y,y,2021
MIA202104060,SLN,MIA,MIA02,20210406,0,6:40 PM,night,9,2,FALSE,,223,4982,unknown,none,cloudy,72,fromlf,12,mcdob701,,laynj901,timmt901,bacce901,wolcq901,(none),(none),helsr001,alcas001,reyea004,regular,4,2,SLN,MIA,y,both,y,y,y,2021
NYA202104060,BAL,NYA,NYC21,20210406,0,6:35 PM,night,9,2,TRUE,,178,9404,unknown,none,sunny,68,fromlf,11,sprej701,,fostm901,wolfj901,muchm901,holbs901,(none),(none),coleg001,kremd001,,regular,2,7,NYA,BAL,y,both,y,y,y,2021
OAK202104060,LAN,OAK,OAK01,20210406,0,6:40 PM,night,9,2,TRUE,,165,7672,unknown,none,sunny,61,unknown,18,younj701,,johna901,belld901,barbs901,gormb901,(none),(none),kersc001,bassc001,,regular,5,1,LAN,OAK,y,both,y,y,y,2021
PHI202104060,NYN,PHI,PHI13,20210406,0,7:05 PM,night,9,2,FALSE,,220,10752,unknown,none,sunny,72,fromlf,12,shutd701,,reybd901,blakr901,kulpr901,onorb901,(none),(none),strom001,andec001,,regular,8,4,NYN,PHI,y,both,y,y,y,2021
SDN202104060,SFN,SDN,SAN02,20210406,0,7:10 PM,night,9,2,FALSE,,173,10350,unknown,none,sunny,63,torf,7,mathd701,,hudsm901,drakr901,mosce901,vanol901,(none),(none),kelak001,wislm001,melam001,regular,1,3,SDN,SFN,y,both,y,y,y,2021
SEA202104060,CHA,SEA,SEA03,20210406,0,7:10 PM,night,9,2,TRUE,,225,7980,unknown,none,cloudy,54,fromlf,3,radoe701,,nelsj901,mahrn901,diazl901,gonzm901,(none),(none),gioll001,margn001,,regular,10,4,CHA,SEA,y,both,y,y,y,2021
TEX202104060,TOR,TEX,ARL03,20210406,0,7:05 PM,night,9,2,TRUE,,153,18585,unknown,none,dome,72,unknown,0,wells701,,mealj901,hicke901,carav901,viscj901,(none),(none),dunnd001,roart001,kenni001,regular,4,7,TEX,TOR,y,both,y,y,y,2021
WAS202104060,ATL,WAS,WAS11,20210406,0,4:05 PM,day,9,2,FALSE,,190,4801,unknown,none,cloudy,74,ltor,5,hetrd701,,marqa901,barrl901,millb903,torrc901,(none),(none),hudsd001,smitw002,,regular,5,6,WAS,ATL,y,both,y,y,y,2021
BOS202104070,TBA,BOS,BOS07,20210407,0,1:10 PM,day,9,2,TRUE,,171,4751,unknown,none,cloudy,55,fromlf,9,ellib701,,barrs901,rehaj901,iassd901,fleta901,(none),(none),eovan001,yarbr001,,regular,2,9,BOS,TBA,y,both,y,y,y,2021
CHN202104070,MIL,CHN,CHI11,20210407,0,1:20 PM,day,9,2,FALSE,,212,10343,unknown,none,cloudy,74,tolf,5,seipb701,,guccc901,ortir901,porta901,wegnm901,(none),(none),hadej001,workb001,boxbb001,regular,4,2,MIL,CHN,y,both,y,y,y,2021
CIN202104070,PIT,CIN,CIN09,20210407,0,12:35 PM,day,9,2,FALSE,,155,11463,unknown,none,cloudy,77,rtol,8,rothr701,,barkl901,addir901,littw901,gibsg901,(none),(none),castl003,kuhlc001,,regular,4,11,CIN,PIT,y,both,y,y,y,2021
CLE202104070,KCA,CLE,CLE08,20210407,0,1:10 PM,day,9,2,TRUE,,173,5908,unknown,none,sunny,73,ltor,7,libea701,,reynj901,randt901,ticht901,whitc901,(none),(none),clase001,hollg001,wittn001,regular,2,4,CLE,KCA,y,both,y,y,y,2021
COL202104070,ARI,COL,DEN02,20210407,0,6:40 PM,night,9,2,FALSE,,177,12894,unknown,none,sunny,61,fromlf,9,einsd701,,conrc901,hobep901,may-b901,welkb901,(none),(none),senza001,bumgm001,,regular,0,8,COL,ARI,y,both,y,y,y,2021
DET202104070,MIN,DET,DET05,20210407,0,1:10 PM,day,9,2,TRUE,,166,7568,unknown,none,sunny,74,rtol,5,klonc701,,buckc901,fairc901,hamaa901,danlk901,(none),(none),maedk001,boydm001,coloa001,regular,3,2,MIN,DET,y,both,y,y,y,2021
MIA202104070,SLN,MIA,MIA02,20210407,0,4:10 PM,day,9,2,FALSE,,190,5244,unknown,none,dome,74,unknown,0,jernr701,,timmt901,bacce901,wolcq901,laynj901,(none),(none),flahj002,lopep002,,regular,7,0,SLN,MIA,y,both,y,y,y,2021
NYA202104070,BAL,NYA,NYC21,20210407,0,6:35 PM,night,9,2,TRUE,,234,10254,unknown,none,sunny,67,tolf,8,altmb701,,wolfj901,muchm901,holbs901,fostm901,(none),(none),valdc003,greec003,fry-p001,regular,4,3,BAL,NYA,y,both,y,y,y,2021
OAK202104070,LAN,OAK,OAK01,20210407,0,12:37 PM,day,9,2,TRUE,,226,8131,unknown,none,cloudy,58,torf,14,younj701,,belld901,barbs901,gormb901,johna901,(none),(none),petiy001,nelsj004,,regular,3,4,OAK,LAN,y,both,y,y,y,2021
PHI202104070,NYN,PHI,PHI13,20210407,0,4:05 PM,day,9,2,FALSE,,215,10807,unknown,none,sunny,66,tocf,5,golam701,,blakr901,kulpr901,onorb901,reybd901,(none),(none),brogc001,peted003,,regular,2,8,PHI,NYN,y,both,y,y,y,2021
SDN202104070,SFN,SDN,SAN02,20210407,0,1:10 PM,day,9,2,FALSE,,201,10350,unknown,none,sunny,70,ltor,7,mathd701,,drakr901,mosce901,vanol901,hudsm901,(none),(none),mcgej001,hillt002,peraw002,regular,3,2,SFN,SDN,y,both,y,y,y,2021
SEA202104070,CHA,SEA,SEA03,20210407,0,1:10 PM,day,9,2,TRUE,,229,7429,unknown,none,dome,47,unknown,2,radoe701,,mahrn901,diazl901,gonzm901,nelsj901,(none),(none),vestw001,fostm001,,regular,4,8,SEA,CHA,y,both,y,y,y,2021
TEX202104070,TOR,TEX,ARL03,20210407,0,1:05 PM,day,9,2,TRUE,,153,16876,unknown,none,sunny,72,unknown,12,bumpl701,,hicke901,carav901,viscj901,mealj901,(none),(none),gibsk002,ryu-h001,kenni001,regular,1,2,TEX,TOR,y,both,y,y,y,2021
WAS202104071,ATL,WAS,WAS11,20210407,1,12:05 PM,day,7,2,FALSE,,169,0,unknown,none,sunny,75,rtol,2,hetrd701,,barrl901,becka901,torrc901,marqa901,(none),(none),tomlj001,fedde001,smitw002,regular,7,6,ATL,WAS,y,both,y,y,y,2021
WAS202104072,ATL,WAS,WAS11,20210407,2,3:46 PM,day,7,2,FALSE,,128,4927,unknown,none,sunny,81,fromlf,5,hetrd701,,millb903,torrc901,marqa901,becka901,(none),(none),jackl001,raint003,newcs001,regular,2,0,ATL,WAS,y,both,y,y,y,2021
BAL202104080,BOS,BAL,BAL12,20210408,0,3:05 PM,day,9,2,TRUE,,188,10150,unknown,none,sunny,67,rtol,6,jacom701,,rehaj901,iassd901,fleta901,barrs901,(none),(none),rodre004,harvm001,,regular,7,3,BOS,BAL,y,both,y,y,y,2021
CHA202104080,KCA,CHA,CHI12,20210408,0,3:10 PM,day,9,2,TRUE,,168,8207,unknown,none,overcast,58,fromrf,2,frisd701,,randt901,ticht901,whitc901,reynj901,(none),(none),lynnl001,kellb003,,regular,0,6,CHA,KCA,y,both,y,y,y,2021
COL202104080,ARI,COL,DEN02,20210408,0,1:10 PM,day,9,2,FALSE,,171,10836,unknown,none,sunny,68,fromlf,13,einsd701,,hobep901,may-b901,welkb901,conrc901,(none),(none),grayj003,kellm002,bardd001,regular,3,7,COL,ARI,y,both,y,y,y,2021
HOU202104080,OAK,HOU,HOU03,20210408,0,7:10 PM,night,9,2,TRUE,,190,21765,unknown,none,cloudy,82,tolf,14,blour701,,sches901,navaj901,barrt901,herna901,(none),(none),javic001,irvic001,,regular,2,6,HOU,OAK,y,both,y,y,y,2021
MIN202104080,SEA,MIN,MIN04,20210408,0,3:10 PM,day,9,2,TRUE,,207,9675,unknown,rain,overcast,67,ltor,10,thors701,,diazl901,hamaa901,gonzm901,mahrn901,(none),(none),berrj001,gonzm005,,regular,2,10,MIN,SEA,y,both,y,y,y,2021
NYN202104080,MIA,NYN,NYC20,20210408,0,1:10 PM,day,9,2,FALSE,,198,8492,unknown,none,sunny,66,tolf,5,karph701,,kulpr901,onorb901,reybd901,blakr901,(none),(none),diaze006,bassa001,,regular,2,3,NYN,MIA,y,both,y,y,y,2021
PIT202104080,CHN,PIT,PIT08,20210408,0,1:35 PM,day,9,2,FALSE,,195,7749,unknown,none,sunny,80,fromcf,16,webbb701,,addir901,littw901,gibsg901,barkl901,(none),(none),arrij001,andet002,kimbc001,regular,4,2,CHN,PIT,y,both,y,y,y,2021
SLN202104080,MIL,SLN,STL10,20210408,0,3:15 PM,day,9,2,FALSE,,185,13328,unknown,none,cloudy,54,tolf,12,muelg701,,ortir901,porta901,wegnm901,guccc901,(none),(none),gallg001,rasmd002,reyea004,regular,1,3,SLN,MIL,y,both,y,y,y,2021
TOR202104080,ANA,TOR,DUN01,20210408,0,7:07 PM,night,9,2,TRUE,,237,1348,unknown,none,sunny,80,fromrf,11,lajor701,,bacce901,wolcq901,laynj901,wendh902,(none),(none),guerj003,borur001,igler001,regular,7,5,ANA,TOR,y,both,y,y,y,2021
ARI202104090,CIN,ARI,PHO01,20210409,0,6:40 PM,night,9,2,FALSE,,227,19385,unknown,none,sunny,91,unknown,12,johnj701,,mosce901,vanol901,hudsm901,drakr901,(none),(none),perec004,youna002,garra001,regular,6,5,CIN,ARI,y,both,y,y,y,2021
