Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak
7,2017/04/10,CHC,LAD,W-wo,3,2,,5-2,1,Tied,Davis,Romo,,3:37,N,"41,166",1.06,+++
8,2017/04/12,CHC,LAD,L,0,2,,5-3,2,1.5,McCarthy,Lackey,Jansen,3:20,N,"40,844",1.11,-
9,2017/04/13,CHC,LAD,W,4,0,,6-3,2,0.5,Anderson,Ryu,,3:01,D,"38,379",1.01,+
10,2017/04/14,CHC,PIT,L,2,4,,6-4,2,0.5,Cole,Hendricks,Watson,3:15,D,"40,430",1.21,-
11,2017/04/15,CHC,PIT,L,7,8,,6-5,2,1.5,Williams,Strop,Watson,3:25,D,"41,814",1.16,--
12,2017/04/16,CHC,PIT,L,1,6,,6-6,3,1.5,Taillon,Uehara,,3:02,D,"39,422",1.14,---
13,2017/04/17,CHC,MIL,L,3,6,,6-7,3,2,Anderson,Lackey,Feliz,3:00,N,"38,636",1.1,----
14,2017/04/18,CHC,MIL,W,9,7,,7-7,3,2,Grimm,Hughes,Davis,3:00,N,"39,026",1.11,+
15,2017/04/19,CHC,MIL,W-wo,7,4,,8-7,2,1,Davis,Feliz,,3:30,D,"34,864",1.12,++
16,2017/04/21,CHC,CIN,W,6,5,11,9-7,1,up 0.5,Edwards,Stephenson,Davis,3:57,N,"29,350",1.27,+++
17,2017/04/22,CHC,CIN,W,12,8,,10-7,1,up 1.5,Arrieta,Reed,,3:24,D,"27,189",1.26,++++
18,2017/04/23,CHC,CIN,L,5,7,,10-8,1,up 0.5,Arroyo,Lackey,,2:26,D,"32,670",1.32,-
19,2017/04/24,CHC,PIT,W,14,3,,11-8,1,up 1.5,Anderson,Kuhl,,3:22,N,"13,445",1.25,+
20,2017/04/25,CHC,PIT,W,1,0,,12-8,1,up 2.0,Hendricks,Cole,Davis,2:44,N,"15,326",1.28,++
21,2017/04/26,CHC,PIT,L,5,6,,12-9,1,up 1.0,LeBlanc,Lester,Watson,3:22,N,"16,904",1.31,-
22,2017/04/28,CHC,BOS,L,4,5,,12-10,1,up 0.5,Pomeranz,Arrieta,Kimbrel,3:28,N,"37,054",1.1,--
23,2017/04/29,CHC,BOS,W,7,4,,13-10,1,up 1.0,Lackey,Wright,Davis,3:00,D,"36,776",1.11,+
24,2017/04/30,CHC,BOS,L,2,6,,13-11,1,up 1.0,Barnes,Uehara,,3:28,N,"36,916",1.13,-
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
25,2017/05/01,CHC,PHI,L,2,10,,13-12,1,Tied,Velasquez,Anderson,,3:06,N,"38,567",1.16,--
26,2017/05/02,CHC,PHI,W,8,3,,14-12,1,up 1.0,Lester,Hellickson,,3:24,N,"38,660",1.1,+
27,2017/05/03,CHC,PHI,W,5,4,,15-12,1,up 1.5,Arrieta,Eickhoff,Davis,3:09,N,"39,335",1.14,++
28,2017/05/04,CHC,PHI,W-wo,5,4,13,16-12,1,up 1.5,Uehara,Rodríguez,,4:22,D,"36,394",1.2,+++
29,2017/05/05,CHC,NYY,L,2,3,,16-13,1,up 1.0,Holder,Rondón,Chapman,3:17,D,"40,395",1.16,-
30,2017/05/06,CHC,NYY,L,6,11,,16-14,1,Tied,Montgomery,Anderson,,3:19,N,"40,735",1.16,--
31,2017/05/07,CHC,NYY,L,4,5,18,16-15,3,1,Shreve,Strop,,6:05,N,"40,584",1.09,---
32,2017/05/09,CHC,COL,L,4,10,,16-16,3,1.5,Senzatela,Arrieta,,3:01,D,"34,779",1.1,----
33,2017/05/09,CHC,COL,W,8,1,,17-16,3,1.5,Lackey,Freeland,,3:01,N,"36,563",1.04,+
34,2017/05/10,CHC,COL,L,0,3,,17-17,4,2.5,Márquez,Hendricks,Holland,2:14,D,"35,213",1.1,-
35,2017/05/12,CHC,STL,W,3,2,,18-17,4,1.5,Butler,Leake,Davis,3:01,N,"47,601",1.18,+
36,2017/05/13,CHC,STL,L,3,5,,18-18,4,2.5,Martínez,Lester,Oh,2:51,D,"47,882",1.28,-
37,2017/05/14,CHC,STL,L,0,5,,18-19,4,3.5,Wainwright,Arrieta,,2:38,D,"47,925",1.18,--
38,2017/05/16,CHC,CIN,W,9,5,,19-19,3,2.5,Lackey,Arroyo,,3:07,N,"40,653",1.09,+
39,2017/05/17,CHC,CIN,W,7,5,,20-19,3,2,Hendricks,Feldman,Davis,3:06,N,"38,715",1.14,++
40,2017/05/18,CHC,CIN,W,9,5,,21-19,3,2,Lester,Garrett,Uehara,3:03,D,"36,023",1.21,+++
41,2017/05/19,CHC,MIL,L,3,6,,21-20,3,3,Peralta,Montgomery,Torres,3:27,D,"36,923",1.36,-
42,2017/05/21,CHC,MIL,W,13,6,,22-20,3,2,Arrieta,Anderson,,3:32,D,"41,671",1.31,+
43,2017/05/22,CHC,SFG,L,4,6,,22-21,3,2.5,Blach,Lackey,Melancon,2:59,N,"36,204",1.17,-
44,2017/05/23,CHC,SFG,W,4,1,,23-21,2,1.5,Lester,Cueto,,2:05,N,"32,905",1.09,+
45,2017/05/24,CHC,SFG,W,5,4,,24-21,2,0.5,Hendricks,Moore,Davis,3:05,N,"35,617",1.14,++
46,2017/05/25,CHC,SFG,W,5,1,,25-21,1,up 0.5,Butler,Samardzija,Montgomery,2:33,D,"37,513",1.21,+++
47,2017/05/26,CHC,LAD,L,0,4,,25-22,1,up 0.5,Wood,Arrieta,,2:49,N,"45,017",1.3,-
48,2017/05/27,CHC,LAD,L,0,5,,25-23,2,0.5,McCarthy,Lackey,Stripling,2:41,D,"48,322",1.29,--
49,2017/05/28,CHC,LAD,L,4,9,,25-24,2,1.5,Fields,Lester,,3:28,D,"47,732",1.23,---
50,2017/05/29,CHC,SDP,L,2,5,,25-25,2,1.5,Torres,Hendricks,Maurer,2:59,D,"41,414",1.11,----
51,2017/05/30,CHC,SDP,L,2,6,,25-26,2,1.5,Lamet,Butler,,2:52,N,"33,232",1.1,-----
52,2017/05/31,CHC,SDP,L,1,2,,25-27,3,2.5,Hand,Uehara,Maurer,2:25,D,"23,995",1.08,------
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
53,2017/06/02,CHC,STL,W,3,2,,26-27,3,2,Strop,Rosenthal,Davis,2:47,D,"41,051",1.16,+
54,2017/06/03,CHC,STL,W,5,3,,27-27,2,1,Rondón,Leake,Davis,2:35,D,"41,164",1.25,++
55,2017/06/04,CHC,STL,W,7,6,,28-27,2,1,Strop,Bowman,Uehara,3:00,N,"39,868",1.36,+++
56,2017/06/05,CHC,MIA,W,3,1,,29-27,1,Tied,Butler,Straily,Montgomery,2:16,N,"34,037",1.18,++++
57,2017/06/06,CHC,MIA,W,10,2,,30-27,1,Tied,Arrieta,Locke,,3:01,N,"34,082",1.28,+++++
58,2017/06/07,CHC,MIA,L,5,6,,30-28,2,1,Ureña,Lackey,Ramos,3:06,N,"37,294",1.31,-
59,2017/06/08,CHC,COL,L,1,4,,30-29,2,1,Chatwood,Lester,Holland,2:44,N,"39,385",1.28,--
60,2017/06/09,CHC,COL,L,3,5,,30-30,2,2,Rusin,Frankoff,Holland,3:42,D,"41,229",1.2,---
61,2017/06/10,CHC,COL,L,1,9,,30-31,2,2,Hoffman,Butler,,3:09,D,"41,226",1.18,----
62,2017/06/11,CHC,COL,W,7,5,,31-31,2,1,Edwards,Lyles,Davis,3:20,D,"41,116",1.11,+
63,2017/06/12,CHC,NYM,L,1,6,,31-32,2,1.5,deGrom,Lackey,,2:23,N,"33,268",1.13,-
64,2017/06/13,CHC,NYM,W,14,3,,32-32,2,1,Lester,Wheeler,,3:07,N,"32,651",1.09,+
65,2017/06/14,CHC,NYM,L,4,9,,32-33,2,2,Blevins,Edwards,,3:02,N,"34,566",1.22,-
66,2017/06/16,CHC,PIT,W,9,5,,33-33,2,2.5,Uehara,Nicasio,,3:31,N,"25,420",1.24,+
67,2017/06/17,CHC,PIT,L,3,4,,33-34,2,2.5,Nova,Arrieta,Vazquez,2:54,N,"34,383",1.28,-
68,2017/06/18,CHC,PIT,W,7,1,,34-34,2,2.5,Lackey,Taillon,,2:48,D,"34,539",1.27,+
69,2017/06/19,CHC,SDP,W,3,2,,35-34,2,1.5,Rondón,Yates,Davis,3:06,N,"40,802",1.16,++
70,2017/06/20,CHC,SDP,W,4,0,,36-34,2,0.5,Montgomery,Chacín,,2:38,N,"41,607",1.23,+++
71,2017/06/21,CHC,SDP,L,2,3,,36-35,2,1.5,Maton,Uehara,Maurer,3:09,D,"41,708",1.26,-
72,2017/06/22,CHC,MIA,W,11,1,,37-35,2,1.5,Arrieta,Locke,,2:54,N,"23,472",1.19,+
73,2017/06/23,CHC,MIA,L,0,2,,37-36,2,1.5,Ureña,Lackey,Ramos,2:30,N,"24,684",1.26,-
74,2017/06/24,CHC,MIA,W,5,3,,38-36,2,0.5,Lester,Wittgren,Davis,2:55,D,"25,448",1.23,+
75,2017/06/25,CHC,MIA,L,2,4,,38-37,2,1.5,Vólquez,Montgomery,Ramos,2:51,D,"25,110",1.31,-
76,2017/06/26,CHC,WSN,W,5,4,,39-37,2,1,Butler,Gonzalez,,3:54,N,"29,651",1.24,+
77,2017/06/27,CHC,WSN,L,1,6,,39-38,2,1,Scherzer,Arrieta,,3:09,N,"31,202",1.32,-
78,2017/06/28,CHC,WSN,L,4,8,,39-39,2,1,Strasburg,Lackey,,2:50,N,"31,072",1.34,--
79,2017/06/29,CHC,WSN,W,5,4,,40-39,2,1,Peña,Treinen,Davis,3:12,D,"37,097",1.28,+
80,2017/06/30,CHC,CIN,L,0,5,,40-40,2,2,Feldman,Montgomery,,2:37,N,"39,501",1.37,-
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
81,2017/07/01,CHC,CIN,L,3,5,,40-41,2,3,Stephens,Butler,Iglesias,3:02,D,"39,826",1.33,--
82,2017/07/02,CHC,CIN,W,6,2,,41-41,2,2,Arrieta,Adleman,,3:08,D,"38,536",1.18,+
83,2017/07/04,CHC,TBR,L,5,6,,41-42,2,3.5,Archer,Lester,Colomé,3:25,D,"42,046",1.22,-
84,2017/07/05,CHC,TBR,W,7,3,,42-42,2,3.5,Strop,Ramírez,,3:10,D,"39,855",1.12,+
85,2017/07/06,CHC,MIL,L,2,11,,42-43,2,4.5,Davies,Montgomery,,3:11,D,"41,576",1.74,-
86,2017/07/07,CHC,PIT,W,6,1,,43-43,2,4.5,Edwards,Williams,,3:46,D,"41,294",1.18,+
87,2017/07/08,CHC,PIT,L,2,4,,43-44,2,4.5,Nova,Arrieta,Vazquez,2:59,N,"41,865",1.2,-
88,2017/07/09,CHC,PIT,L,3,14,,43-45,2,5.5,Schugel,Lester,,3:14,D,"41,604",1.18,--
89,2017/07/14,CHC,BAL,W,9,8,,44-45,2,5.5,Uehara,Brach,Davis,3:42,N,"34,335",0.89,+
90,2017/07/15,CHC,BAL,W,10,3,,45-45,2,5.5,Arrieta,Miley,,3:02,N,"40,258",1,++
91,2017/07/16,CHC,BAL,W,8,0,,46-45,2,4.5,Quintana,Jiménez,,2:56,D,"31,105",1.04,+++
92,2017/07/17,CHC,ATL,W,4,3,,47-45,2,3.5,Lester,Teheran,Davis,3:17,N,"41,256",1.2,++++
93,2017/07/18,CHC,ATL,W,5,1,,48-45,2,2.5,Lackey,Newcomb,,3:01,N,"41,541",1.3,+++++
94,2017/07/19,CHC,ATL,W,8,2,,49-45,2,1.5,Montgomery,Dickey,,3:05,D,"40,054",1.37,++++++
95,2017/07/21,CHC,STL,L,4,11,,49-46,2,1,Bowman,Edwards,,3:17,D,"42,186",1.69,-
96,2017/07/22,CHC,STL,W,3,2,,50-46,2,1,Lester,Bowman,Davis,2:34,D,"41,969",1.67,+
97,2017/07/23,CHC,STL,W,5,3,,51-46,1,Tied,Quintana,Wacha,Davis,2:50,N,"41,582",1.71,++
98,2017/07/24,CHC,CHW,L,1,3,,51-47,2,0.5,González,Grimm,Swarzak,3:17,D,"40,849",1.57,-
99,2017/07/25,CHC,CHW,W,7,2,,52-47,2,0.5,Lackey,Rodón,,3:38,D,"40,717",1.52,+
100,2017/07/26,CHC,CHW,W,8,3,,53-47,1,up 0.5,Arrieta,Shields,,3:53,N,"38,517",1.58,++
101,2017/07/27,CHC,CHW,W,6,3,,54-47,1,up 1.5,Lester,Pelfrey,,2:37,N,"39,422",1.6,+++
102,2017/07/28,CHC,MIL,L,1,2,,54-48,1,up 0.5,Suter,Quintana,Knebel,2:34,N,"42,574",2.38,-
103,2017/07/29,CHC,MIL,W,2,1,11,55-48,1,up 1.5,Montgomery,Hughes,Davis,4:05,N,"44,709",2.38,+
104,2017/07/30,CHC,MIL,W,4,2,,56-48,1,up 2.5,Lackey,Davies,Davis,2:49,D,"44,269",2.46,++
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
105,2017/08/01,CHC,ARI,W,16,4,,57-48,1,up 2.5,Rondón,Corbin,Montgomery,3:27,N,"40,709",1.77,+++
106,2017/08/02,CHC,ARI,L,0,3,,57-49,1,up 2.5,Godley,Arrieta,Rodney,2:44,N,"41,321",1.72,-
107,2017/08/03,CHC,ARI,L,8,10,,57-50,1,up 1.5,Barrett,Davis,Rodney,3:59,D,"39,525",1.77,--
108,2017/08/04,CHC,WSN,L,2,4,,57-51,1,up 0.5,Roark,Hendricks,Doolittle,2:43,D,"41,396",1.74,---
109,2017/08/05,CHC,WSN,W,7,4,,58-51,1,up 0.5,Lackey,Jackson,Davis,3:31,D,"41,857",1.73,+
110,2017/08/06,CHC,WSN,L,4,9,,58-52,1,up 0.5,Kintzler,Edwards,,3:06,D,"41,047",1.74,-
111,2017/08/07,CHC,SFG,W,5,3,,59-52,1,up 1.5,Arrieta,Moore,Davis,2:55,N,"40,462",1.76,+
112,2017/08/08,CHC,SFG,L,3,6,,59-53,1,up 1.5,Blach,Quintana,Dyson,2:44,N,"39,864",1.76,-
113,2017/08/09,CHC,SFG,L,1,3,,59-54,1,up 1.5,Bumgarner,Duensing,Dyson,2:50,D,"41,099",1.79,--
114,2017/08/11,CHC,ARI,W,8,3,,60-54,1,up 1.0,Lackey,Walker,,3:23,N,"39,131",1.94,+
115,2017/08/12,CHC,ARI,L,2,6,,60-55,1,Tied,Corbin,Lester,Hernandez,3:05,N,"42,219",1.95,-
116,2017/08/13,CHC,ARI,W,7,2,,61-55,1,up 1.0,Arrieta,Godley,,3:12,D,"41,760",1.91,+
117,2017/08/14,CHC,CIN,W,15,5,,62-55,1,up 1.5,Quintana,Wojciechowski,,3:45,N,"40,263",1.86,++
118,2017/08/15,CHC,CIN,L,1,2,,62-56,1,up 1.5,Lorenzen,Strop,Iglesias,3:04,N,"36,698",1.86,-
119,2017/08/16,CHC,CIN,W-wo,7,6,,63-56,1,up 1.5,Davis,Peralta,,3:35,N,"37,021",1.86,+
120,2017/08/17,CHC,CIN,L,10,13,,63-57,1,up 1.0,Storen,Grimm,Iglesias,3:45,D,"38,675",1.93,-
121,2017/08/18,CHC,TOR,W,7,4,,64-57,1,up 1.5,Arrieta,Happ,Davis,3:02,D,"41,814",1.96,+
122,2017/08/19,CHC,TOR,W,4,3,,65-57,1,up 2.0,Quintana,Barnes,Davis,3:09,D,"41,558",2,++
123,2017/08/20,CHC,TOR,W-wo,6,5,10,66-57,1,up 2.0,Wilson,Osuna,,3:44,D,"41,459",1.91,+++
124,2017/08/22,CHC,CIN,W,13,9,,67-57,1,up 2.5,Rondón,Peralta,,4:04,N,"16,467",1.83,++++
125,2017/08/23,CHC,CIN,W,9,3,,68-57,1,up 3.5,Montgomery,Wojciechowski,,2:55,N,"15,355",1.78,+++++
126,2017/08/24,CHC,CIN,L,2,4,,68-58,1,up 3.0,Lorenzen,Strop,Iglesias,2:47,N,"18,191",1.68,-
127,2017/08/25,CHC,PHI,L,1,7,,68-59,1,up 3.0,Eickhoff,Quintana,,3:00,N,"24,424",1.76,--
128,2017/08/26,CHC,PHI,W,17,2,,69-59,1,up 3.0,Hendricks,Lively,,3:03,N,"29,379",1.79,+
129,2017/08/27,CHC,PHI,L,3,6,,69-60,1,up 2.0,Pivetta,Lackey,Neris,2:54,D,"28,689",1.79,-
130,2017/08/28,CHC,PIT,W,6,1,,70-60,1,up 2.5,Montgomery,Williams,,2:50,N,"38,453",2.1,+
131,2017/08/29,CHC,PIT,W,4,1,,71-60,1,up 3.5,Arrieta,Kuhl,Davis,2:49,N,"37,370",1.91,++
132,2017/08/30,CHC,PIT,W,17,3,,72-60,1,up 3.5,Quintana,Nova,,3:12,N,"36,628",1.75,+++
133,2017/08/31,CHC,ATL,W,6,2,,73-60,1,up 3.5,Hendricks,Newcomb,,2:59,N,"38,031",1.59,++++
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
134,2017/09/01,CHC,ATL,W,2,0,,74-60,1,up 3.5,Lackey,Foltynewicz,Davis,2:38,D,"37,280",1.58,+++++
135,2017/09/02,CHC,ATL,W,14,12,,75-60,1,up 4.5,Lester,Sims,,3:49,D,"41,329",1.58,++++++
136,2017/09/03,CHC,ATL,L,1,5,,75-61,1,up 3.5,Fried,Montgomery,,2:43,D,"42,145",1.18,-
137,2017/09/04,CHC,PIT,L,0,12,,75-62,1,up 3.5,Kuhl,Arrieta,,3:05,D,"21,068",1.5,--
138,2017/09/05,CHC,PIT,L,3,4,,75-63,1,up 3.5,LeBlanc,Edwards,Vazquez,2:35,N,"14,079",1.62,---
139,2017/09/06,CHC,PIT,W,1,0,,76-63,1,up 4.0,Strop,Hudson,Davis,3:05,N,"17,067",1.8,+
140,2017/09/07,CHC,PIT,W,8,2,,77-63,1,up 5.0,Lester,Taillon,,3:13,N,"19,201",1.57,++
141,2017/09/08,CHC,MIL,L,0,2,,77-64,1,up 4.0,Nelson,Lackey,Knebel,2:51,N,"41,020",1.84,-
142,2017/09/09,CHC,MIL,L,2,15,,77-65,1,up 3.0,Anderson,Montgomery,,3:09,D,"41,167",2.47,--
143,2017/09/10,CHC,MIL,L,1,3,,77-66,1,up 2.0,Davies,Hendricks,Knebel,2:54,D,"40,113",3.15,---
144,2017/09/12,CHC,NYM,W,8,3,,78-66,1,up 2.0,Quintana,Gsellman,,3:16,N,"37,834",2.44,+
145,2017/09/13,CHC,NYM,W,17,5,,79-66,1,up 2.5,Lester,Harvey,,3:42,N,"36,008",2.51,++
146,2017/09/14,CHC,NYM,W,14,6,,80-66,1,up 3.0,Montgomery,Lugo,,3:06,N,"37,867",2.43,+++
147,2017/09/15,CHC,STL,W,8,2,,81-66,1,up 3.0,Edwards,Martínez,,3:07,D,"38,464",3.3,++++
148,2017/09/16,CHC,STL,W,4,1,,82-66,1,up 4.0,Hendricks,Wacha,Davis,2:49,D,"40,959",2.93,+++++
149,2017/09/17,CHC,STL,W,4,3,,83-66,1,up 4.0,Strop,Lyons,Davis,3:44,D,"37,242",2.16,++++++
150,2017/09/19,CHC,TBR,W,2,1,,84-66,1,up 3.5,Montgomery,Archer,Davis,2:45,N,"25,046",1.56,+++++++
151,2017/09/20,CHC,TBR,L,1,8,,84-67,1,up 3.5,Snell,Lester,,3:04,N,"24,238",1.43,-
152,2017/09/21,CHC,MIL,W,5,3,10,85-67,1,up 4.5,Davis,Drake,,3:57,N,"35,114",2.48,+
153,2017/09/22,CHC,MIL,W,5,4,10,86-67,1,up 5.0,Edwards,Knebel,,4:03,N,"40,116",1.27,++
154,2017/09/23,CHC,MIL,L-wo,3,4,10,86-68,1,up 4.5,Jeffress,Davis,,3:17,D,"44,067",0.64,-
155,2017/09/24,CHC,MIL,W,5,0,,87-68,1,up 5.5,Quintana,Anderson,,2:53,D,"42,212",0.74,+
156,2017/09/25,CHC,STL,W,10,2,,88-68,1,up 6.0,Lester,Weaver,,3:11,N,"42,516",0.17,++
157,2017/09/26,CHC,STL,L,7,8,,88-69,1,up 5.0,Duke,Arrieta,Nicasio,3:46,N,"41,944",0.03,-
158,2017/09/27,CHC,STL,W,5,1,,89-69,1,up 6.0,Lackey,Wacha,,2:41,N,"42,070",0.05,+
159,2017/09/28,CHC,STL,W,2,1,11,90-69,1,up 6.0,Tseng,Bowman,,3:32,N,"43,094",0.03,++
160,2017/09/29,CHC,CIN,W,5,4,,91-69,1,up 6.0,Duensing,Lorenzen,Grimm,2:56,D,"36,258",0.05,+++
161,2017/09/30,CHC,CIN,W,9,0,,92-69,1,up 7.0,Lester,Stephens,,3:04,D,"41,493",0.08,++++
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
162,2017/10/01,CHC,CIN,L,1,3,,92-70,1,up 6.0,McGuire,Lackey,Iglesias,2:30,D,"40,971",0.1,-
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
1,2017/04/04,CHW,DET,L,3,6,,0-1,4,1.5,Verlander,Quintana,Rodríguez,3:30,D,"36,534",1.04,-
2,2017/04/06,CHW,DET,W,11,2,,1-1,3,1.5,Shields,Boyd,,3:31,D,"10,842",0.98,+
3,2017/04/07,CHW,MIN,L,1,3,,1-2,4,2.5,Hughes,Holland,Kintzler,2:59,N,"14,004",1.05,-
4,2017/04/08,CHW,MIN,W,6,2,,2-2,4,1.5,González,Mejía,,2:56,D,"23,024",1,+
5,2017/04/09,CHW,MIN,L,1,4,,2-3,4,2.5,Santana,Quintana,Kintzler,3:07,D,"24,074",1.02,-
6,2017/04/11,CHW,CLE,L-wo,1,2,10,2-4,4,2.5,Shaw,Kahnle,,3:37,D,"35,002",0.97,--
7,2017/04/12,CHW,CLE,W,2,1,,3-4,4,2.5,Holland,Salazar,Robertson,2:58,N,"15,628",0.95,+
8,2017/04/13,CHW,CLE,W,10,4,,4-4,3,1.5,Swarzak,Tomlin,,3:32,N,"15,060",1,++
9,2017/04/14,CHW,MIN,W,2,1,,5-4,3,1.5,Jennings,Pressly,Robertson,3:06,N,"18,466",1.09,+++
10,2017/04/15,CHW,MIN,L,0,6,,5-5,3,1.5,Santana,Quintana,,2:26,D,"25,938",1.12,-
11,2017/04/16,CHW,MIN,W,3,1,10,6-5,3,1.5,Jones,Pressly,Robertson,3:15,D,"19,511",1.13,+
12,2017/04/17,CHW,NYY,L,4,7,,6-6,3,2,Montgomery,Holland,Chapman,2:49,N,"28,181",0.99,-
13,2017/04/18,CHW,NYY,W,4,1,,7-6,2,1,González,Severino,Robertson,2:16,N,"30,075",0.97,+
14,2017/04/19,CHW,NYY,L,1,9,,7-7,2,1,Tanaka,Covey,,2:40,N,"30,014",1.02,-
15,2017/04/21,CHW,CLE,L,0,3,,7-8,4,1.5,Kluber,Quintana,,2:45,N,"18,159",1.13,--
16,2017/04/22,CHW,CLE,L,0,7,,7-9,4,2.5,Carrasco,Pelfrey,,3:09,N,"32,044",1.07,---
17,2017/04/23,CHW,CLE,W,6,2,,8-9,3,1.5,Holland,Salazar,,3:12,D,"24,444",1.04,+
18,2017/04/24,CHW,KCR,W,12,1,,9-9,3,1,González,Vargas,,2:47,N,"11,484",1.04,++
19,2017/04/25,CHW,KCR,W,10,5,,10-9,2,1,Jennings,Duffy,,3:21,N,"14,591",1.1,+++
20,2017/04/26,CHW,KCR,W,5,2,,11-9,1,Tied,Quintana,Karns,Robertson,2:58,D,"18,218",1.11,++++
21,2017/04/28,CHW,DET,W,7,3,,12-9,1,up 0.5,Swarzak,Wilson,,3:25,N,"26,049",1.26,+++++
22,2017/04/29,CHW,DET,W,6,4,10,13-9,1,up 0.5,Robertson,Wilson,,3:36,D,"36,217",1.31,++++++
23,2017/04/30,CHW,DET,L,3,7,,13-10,2,0.5,Zimmermann,González,,3:24,D,"26,045",1.29,-
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
24,2017/05/01,CHW,KCR,L,1,6,,13-11,2,0.5,Vargas,Covey,,2:36,N,"20,148",1.2,--
25,2017/05/02,CHW,KCR,W,6,0,,14-11,1,up 0.5,Quintana,Duffy,,2:43,N,"18,604",1.18,+
26,2017/05/03,CHW,KCR,L,1,6,,14-12,3,0.5,Karns,Pelfrey,,2:43,N,"22,298",1.18,-
27,2017/05/04,CHW,KCR,W,8,3,,15-12,1,Tied,Holland,Kennedy,,3:00,D,"36,525",1.16,+
28,2017/05/05,CHW,BAL,L,2,4,,15-13,2,0.5,Ynoa,González,Brach,3:17,N,"20,302",1.19,-
29,2017/05/06,CHW,BAL,L,5,6,,15-14,3,1,Bundy,Covey,O'Day,3:04,N,"28,718",1.1,--
30,2017/05/07,CHW,BAL,L,0,4,,15-15,3,2,Tillman,Quintana,Brach,3:04,D,"31,806",1.12,---
31,2017/05/09,CHW,MIN,L,2,7,,15-16,4,2.5,Santiago,Pelfrey,,2:58,N,"14,498",1.21,----
32,2017/05/11,CHW,MIN,L,6,7,,15-17,4,2.5,Pressly,Holland,Kintzler,3:27,N,"16,084",1.16,-----
33,2017/05/12,CHW,SDP,L,3,6,,15-18,4,3.5,Chacín,González,Maurer,3:16,N,"24,194",0.86,------
34,2017/05/13,CHW,SDP,W-wo,5,4,,16-18,4,3.5,Robertson,Hand,,3:16,N,"29,111",0.84,+
35,2017/05/14,CHW,SDP,W,9,3,,17-18,4,2.5,Ynoa,Buchter,,3:16,D,"22,518",0.89,++
36,2017/05/15,CHW,LAA,L,3,5,,17-19,4,3,Chavez,Pelfrey,Norris,3:01,N,"29,445",0.95,-
37,2017/05/16,CHW,LAA,L-wo,6,7,11,17-20,4,3,Petit,Robertson,,4:01,N,"36,089",0.92,--
38,2017/05/17,CHW,LAA,L,8,12,,17-21,4,3.5,Shoemaker,González,,3:28,N,"33,234",0.87,---
39,2017/05/18,CHW,SEA,L-wo,4,5,,17-22,4,4,Vincent,Jennings,,3:02,N,"17,757",0.82,----
40,2017/05/19,CHW,SEA,W,2,1,10,18-22,4,4,Robertson,Zych,,2:46,N,"32,371",0.74,+
41,2017/05/20,CHW,SEA,W,16,1,,19-22,4,3.5,Pelfrey,Gallardo,,2:52,N,"33,801",0.82,++
42,2017/05/21,CHW,SEA,W,8,1,,20-22,4,3,Holland,Heston,,2:46,D,"36,782",0.87,+++
43,2017/05/22,CHW,ARI,L,1,5,,20-23,4,4,Greinke,González,,2:39,N,"18,333",0.91,-
44,2017/05/23,CHW,ARI,L,4,5,,20-24,4,5,Corbin,Covey,Rodney,2:56,N,"17,865",0.84,--
45,2017/05/24,CHW,ARI,L,6,8,,20-25,4,6,Chafin,Quintana,Rodney,3:02,D,"18,002",0.77,---
46,2017/05/26,CHW,DET,W,8,2,,21-25,4,5,Pelfrey,Boyd,,3:42,N,"17,842",0.8,+
47,2017/05/27,CHW,DET,W,3,0,,22-25,4,5.5,Danish,Fulmer,Robertson,2:54,D,0,0.94,++
48,2017/05/27,CHW,DET,L,3,4,,22-26,4,5.5,Farmer,Holland,,3:14,D,"26,327",1.03,-
49,2017/05/28,CHW,DET,W,7,3,,23-26,3,4.5,González,Zimmermann,Robertson,2:44,D,"27,578",0.91,+
50,2017/05/29,CHW,BOS,W,5,4,,24-26,3,3.5,Minaya,Barnes,Robertson,3:16,D,"27,148",0.9,++
51,2017/05/30,CHW,BOS,L,7,13,,24-27,3,3.5,Sale,Quintana,Kimbrel,3:53,N,"21,852",0.99,-
