Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak
49,2017/05/25,ARI,MIL,W,4,0,,30-19,2,1,Ray,Davies,,2:45,N,"30,081",1.28,++++
50,2017/05/26,ARI,MIL,W,4,2,10,31-19,2,1,McFarland,Peralta,Rodney,3:24,N,"25,391",1.3,+++++
51,2017/05/27,ARI,MIL,L,1,6,,31-20,2,1,Anderson,Greinke,,2:52,D,"29,746",1.26,-
52,2017/05/28,ARI,MIL,L,5,9,,31-21,3,2,Nelson,Corbin,Barnes,3:08,D,"41,698",1.28,--
53,2017/05/29,ARI,PIT,L-wo,3,4,,31-22,3,2,Watson,Bradley,,3:02,D,"16,939",1.24,---
54,2017/05/30,ARI,PIT,W,3,0,,32-22,3,1.5,Ray,Nova,,2:10,N,"14,996",1.26,+
55,2017/05/31,ARI,PIT,W,6,5,14,33-22,2,0.5,McFarland,Mariñez,,4:40,D,"20,990",1.25,++
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
56,2017/06/01,ARI,MIA,W,3,2,,34-22,1,Tied,Greinke,Barraclough,Rodney,3:00,N,"16,433",1.28,+++
57,2017/06/02,ARI,MIA,L,5,7,,34-23,2,0.5,McGowan,Corbin,Ramos,3:00,N,"17,413",1.25,-
58,2017/06/03,ARI,MIA,L,0,3,,34-24,3,1.5,Vólquez,Delgado,,2:31,D,"21,548",1.25,--
59,2017/06/04,ARI,MIA,L,5,6,,34-25,3,2,Wittgren,De La Rosa,Ramos,3:32,D,"20,387",1.24,---
60,2017/06/06,ARI,SDP,W,10,2,,35-25,2,2,Ray,Lamet,,2:52,N,"25,883",1.26,+
61,2017/06/07,ARI,SDP,W,7,4,,36-25,2,2,Greinke,Perdomo,Rodney,3:48,N,"22,079",1.24,++
62,2017/06/08,ARI,SDP,W,15,3,,37-25,2,2,Corbin,Richard,,2:59,D,"21,340",1.22,+++
63,2017/06/09,ARI,MIL,L,6,8,,37-26,3,3,Davies,McFarland,Knebel,3:38,N,"25,009",1.26,-
64,2017/06/10,ARI,MIL,W,3,2,,38-26,3,3,Godley,Guerra,Rodney,2:43,N,"40,195",1.23,+
65,2017/06/11,ARI,MIL,W,11,1,,39-26,3,2,Ray,Anderson,,3:26,D,"30,370",1.23,++
66,2017/06/13,ARI,DET,W,7,6,,40-26,3,0.5,Bradley,Wilson,Rodney,3:48,N,"25,119",1.18,+++
